Format Version,1.22,Take Name,AR2_ten_001,Capture Frame Rate,240.000000,Export Frame Rate,60.000000,Capture Start Time,2021-03-22 11.32.17.586 AM,Total Frames in Take,1054,Total Exported Frames,264,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 01:Marker1,RigidBody 01:Marker1,RigidBody 01:Marker1,RigidBody 03:Marker1,RigidBody 03:Marker1,RigidBody 03:Marker1,RigidBody 01:Marker2,RigidBody 01:Marker2,RigidBody 01:Marker2,RigidBody 02:Marker2,RigidBody 02:Marker2,RigidBody 02:Marker2,RigidBody 03:Marker2,RigidBody 03:Marker2,RigidBody 03:Marker2,RigidBody 01:Marker3,RigidBody 01:Marker3,RigidBody 01:Marker3,RigidBody 02:Marker3,RigidBody 02:Marker3,RigidBody 02:Marker3,RigidBody 03:Marker3,RigidBody 03:Marker3,RigidBody 03:Marker3,RigidBody 01:Marker4,RigidBody 01:Marker4,RigidBody 01:Marker4,RigidBody 02:Marker4,RigidBody 02:Marker4,RigidBody 02:Marker4,RigidBody 02:Marker5,RigidBody 02:Marker5,RigidBody 02:Marker5,Unlabeled 221819,Unlabeled 221819,Unlabeled 221819,Unlabeled 221820,Unlabeled 221820,Unlabeled 221820
,,"751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","EA870","EA870","EA870","EA070","EA070","EA070","EB88F6A88B3C11EB42374A447B10F386","EB88F6A88B3C11EB42374A447B10F386","EB88F6A88B3C11EB42374A447B10F386","EA830","EA830","EA830","EA060","EA060","EA060","EA850","EA850","EA850","EB88F6A98B3C11EB42374A447B10F386","EB88F6A98B3C11EB42374A447B10F386","EB88F6A98B3C11EB42374A447B10F386","EA050","EA050","EA050","E8C20","E8C20","E8C20","EA400","EA400","EA400","E83E0","E83E0","E83E0","EA7F0","EA7F0","EA7F0","EA820","EA820","EA820"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-3.135041,29.960279,-1.838346,-13.337231,165.010559,-10.567213,-0.354364,0.108297,0.180932,-2.650449,156.759918,175.576050,-160.804352,-75.442429,23.924072,8.787871,11.664804,-13.586426,-10.146123,167.764404,-13.955164,7.276926,13.149309,-16.574800,-16.156759,167.077225,-10.286441,-82.048355,100.989471,179.958084,10.621543,13.243058,-10.828465,-19.738842,165.369507,-7.308454,78.705360,211.673004,176.004089,8.488592,8.624208,-13.356755,-7.276541,159.836929,-10.756100,79.940384,102.160522,179.645157,-80.187904,210.732224,176.995056,3.757715,173.446075,-1.066250,18.868265,169.892044,-1.714766
1,0.016667,-3.127016,29.953867,-1.844085,-13.328697,165.009766,-10.565844,-0.352787,0.107012,0.181092,-2.650725,156.760803,175.576920,-160.789536,-75.444511,23.941807,8.787770,11.664475,-13.585917,-10.137165,167.763641,-13.952703,7.276873,13.149153,-16.574345,-16.148092,167.076630,-10.285213,-82.047043,100.989388,179.955841,10.621446,13.242519,-10.828136,-19.731157,165.368912,-7.307034,78.704903,211.674088,176.008301,8.488383,8.623884,-13.356008,-7.268671,159.835953,-10.754776,79.940186,102.160194,179.646774,-80.188606,210.733978,176.993835,3.765011,173.445053,-1.060891,18.874321,169.888763,-1.708156
2,0.033333,-3.128049,29.942734,-1.845944,-13.319807,165.009232,-10.564642,-0.353485,0.106733,0.180577,-2.649916,156.760544,175.576935,-160.808990,-75.446251,23.913689,8.788301,11.664838,-13.585835,-10.126719,167.762894,-13.951182,7.276617,13.149074,-16.574001,-16.139219,167.076157,-10.284634,-82.046631,100.989510,179.957153,10.622279,13.243140,-10.827765,-19.722908,165.368423,-7.306683,78.706207,211.673141,176.008057,8.489716,8.624680,-13.356497,-7.260618,159.835785,-10.752439,79.941429,102.158264,179.649979,-80.188332,210.735062,176.993591,3.771818,173.444870,-1.054800,18.879583,169.890366,-1.699120
3,0.050000,-3.127847,29.931484,-1.855458,-13.310547,165.009827,-10.564448,-0.353855,0.106741,0.180606,-2.650159,156.761353,175.576950,-160.808548,-75.454399,23.912678,8.787736,11.664637,-13.585766,-10.112864,167.763336,-13.952952,7.275541,13.148865,-16.573725,-16.129742,167.077148,-10.285178,-82.047363,100.989388,179.958862,10.621780,13.242781,-10.827912,-19.715002,165.368591,-7.305717,78.705940,211.673981,176.007706,8.489420,8.624511,-13.356425,-7.254025,159.836609,-10.750813,79.941643,102.158165,179.652222,-80.188583,210.736176,176.993256,3.777222,173.444626,-1.049024,18.885172,169.895584,-1.689571
4,0.066667,-3.113536,29.926991,-1.860719,-13.303542,165.010132,-10.563205,-0.354132,0.107419,0.181032,-2.650550,156.760025,175.577362,-160.802063,-75.453003,23.919680,8.787737,11.664648,-13.585801,-10.105482,167.764038,-13.950562,7.276188,13.149330,-16.573698,-16.122604,167.077606,-10.283747,-82.046661,100.988174,179.958984,10.621686,13.242710,-10.827986,-19.708252,165.368835,-7.304800,78.705147,211.673264,176.006882,8.488909,8.624169,-13.356450,-7.247517,159.836716,-10.750336,79.940506,102.157578,179.650696,-80.188751,210.733795,176.994247,3.782271,173.443863,-1.044863,18.890257,169.893738,-1.683205
5,0.083333,-3.117505,29.918756,-1.861954,-13.298580,165.010834,-10.563270,-0.356100,0.107007,0.180994,-2.650463,156.760330,175.575500,-160.788071,-75.450905,23.936480,8.786956,11.664351,-13.585565,-10.099896,167.764465,-13.950461,7.275702,13.149142,-16.573528,-16.117661,167.078369,-10.284385,-82.047287,100.989067,179.958313,10.620939,13.242308,-10.827802,-19.704111,165.369446,-7.305264,78.705269,211.673523,176.003708,8.487906,8.623939,-13.356081,-7.242857,159.837463,-10.749072,79.941544,102.158440,179.651352,-80.188286,210.733765,176.989258,3.785577,173.441895,-1.042455,18.892731,169.885941,-1.680768
6,0.100000,-3.105026,29.914995,-1.870461,-13.294801,165.011459,-10.562421,-0.353449,0.108075,0.180966,-2.651138,156.761292,175.577835,-160.783569,-75.447449,23.934130,8.786331,11.663905,-13.585511,-10.095137,167.764984,-13.948917,7.274346,13.148506,-16.573601,-16.113646,167.079300,-10.283443,-82.047852,100.989891,179.960052,10.620399,13.241622,-10.827330,-19.700548,165.370560,-7.304865,78.704628,211.674408,176.007065,8.487509,8.623655,-13.356360,-7.239824,159.837677,-10.748911,79.940407,102.159073,179.648636,-80.188873,210.734940,176.994247,3.790336,173.440948,-1.041454,18.895267,169.881271,-1.679832
7,0.116667,-3.105803,29.911913,-1.878849,-13.290283,165.011185,-10.561822,-0.352661,0.107337,0.180949,-2.650564,156.761353,175.578476,-160.792923,-75.452820,23.925409,8.786228,11.664537,-13.585051,-10.089865,167.764160,-13.948470,7.274405,13.149208,-16.572880,-16.108887,167.079407,-10.283194,-82.047943,100.988976,179.960556,10.620366,13.242456,-10.827119,-19.696005,165.371246,-7.304591,78.705231,211.674469,176.009521,8.487706,8.624403,-13.355904,-7.236237,159.836685,-10.747457,79.940613,102.161194,179.646820,-80.188416,210.735153,176.995850,3.792847,173.440765,-1.040024,18.898951,169.881454,-1.676810
8,0.133333,-3.107137,29.904634,-1.877758,-13.285512,165.009796,-10.561067,-0.352179,0.107390,0.180367,-2.649880,156.760712,175.579361,-160.781799,-75.448921,23.935417,8.786469,11.664633,-13.584548,-10.084978,167.763000,-13.947469,7.274421,13.149100,-16.572453,-16.104198,167.077957,-10.282823,-82.047699,100.989578,179.958923,10.620603,13.242358,-10.826454,-19.691786,165.369751,-7.304502,78.706474,211.672974,176.010788,8.488041,8.624807,-13.355499,-7.231191,159.835114,-10.745543,79.940727,102.158356,179.650406,-80.187500,210.734848,176.999832,3.796404,173.442383,-1.039118,18.903593,169.885025,-1.671219
9,0.150000,-3.112507,29.899706,-1.878563,-13.280795,165.009369,-10.560351,-0.351804,0.107414,0.180471,-2.649696,156.760818,175.579300,-160.787659,-75.448906,23.928318,8.787325,11.664627,-13.583760,-10.079781,167.762070,-13.946634,7.276113,13.149638,-16.571444,-16.099491,167.077576,-10.282559,-82.046761,100.990440,179.957504,10.620640,13.241884,-10.825774,-19.687347,165.369507,-7.304186,78.706566,211.673233,176.011063,8.488857,8.624678,-13.354789,-7.226735,159.834869,-10.743981,79.940399,102.158478,179.649261,-80.186882,210.734390,176.998474,3.799293,173.443604,-1.037806,18.908697,169.889877,-1.664841
10,0.166667,-3.109548,29.894472,-1.888732,-13.278069,165.010590,-10.560154,-0.351449,0.108929,0.180860,-2.650997,156.761658,175.579910,-160.789108,-75.441040,23.927299,8.787882,11.664768,-13.583624,-10.076470,167.762787,-13.946324,7.277306,13.149971,-16.571514,-16.096485,167.079239,-10.282719,-82.048172,100.987602,179.964539,10.620980,13.242030,-10.825397,-19.684536,165.371994,-7.305098,78.704895,211.674622,176.009842,8.489182,8.624763,-13.354670,-7.224674,159.834900,-10.742646,79.940353,102.158546,179.648972,-80.188515,210.736496,177.000351,3.802243,173.442886,-1.036394,18.912663,169.889801,-1.660717
11,0.183333,-3.101168,29.892122,-1.900459,-13.277350,165.012054,-10.559936,-0.353601,0.108693,0.181490,-2.650640,156.760483,175.579315,-160.781952,-75.441376,23.929815,8.787992,11.664549,-13.583530,-10.075397,167.763474,-13.945377,7.276405,13.149485,-16.571598,-16.095417,167.081177,-10.282551,-82.046089,100.988304,179.961151,10.621897,13.242043,-10.825008,-19.683773,165.374069,-7.304907,78.704643,211.674362,176.007538,8.489051,8.624260,-13.354762,-7.225443,159.835678,-10.742455,79.939857,102.159103,179.649109,-80.188484,210.733063,176.998260,3.805088,173.441360,-1.036680,18.913656,169.882980,-1.662672
12,0.200000,-3.100615,29.899252,-1.911056,-13.278113,165.013290,-10.558936,-0.353313,0.108923,0.181411,-2.650916,156.760818,175.578827,-160.780075,-75.449089,23.933523,8.788462,11.664979,-13.583700,-10.075625,167.763931,-13.945156,7.277327,13.150319,-16.571369,-16.095804,167.082901,-10.281397,-82.047043,100.988068,179.961731,10.622275,13.242403,-10.825612,-19.684380,165.376801,-7.303154,78.704445,211.674576,176.006989,8.489277,8.624411,-13.354845,-7.226833,159.835983,-10.742039,79.940048,102.160477,179.648300,-80.188354,210.733459,176.998871,3.807925,173.438614,-1.037008,18.915134,169.872040,-1.664591
13,0.216667,-3.096263,29.906322,-1.917008,-13.279520,165.013657,-10.557508,-0.354508,0.108856,0.180803,-2.651597,156.761688,175.575806,-160.765259,-75.440399,23.948769,8.789043,11.665442,-13.583673,-10.077503,167.764450,-13.944274,7.277441,13.150271,-16.571716,-16.096977,167.083542,-10.279585,-82.048286,100.989296,179.961853,10.622668,13.242519,-10.825257,-19.685278,165.377640,-7.301074,78.704346,211.674576,176.002914,8.490673,8.625917,-13.354794,-7.228835,159.835403,-10.740977,79.939934,102.160683,179.645294,-80.189751,210.736420,176.993103,3.808482,173.435791,-1.037806,18.915192,169.863007,-1.667416
14,0.233333,-3.099507,29.918818,-1.923043,-13.282691,165.012085,-10.555260,-0.352339,0.108025,0.180432,-2.650617,156.761612,175.577805,-160.786179,-75.447754,23.924845,8.788925,11.665230,-13.583371,-10.081125,167.762329,-13.942921,7.277197,13.150204,-16.571163,-16.099876,167.082291,-10.276963,-82.046860,100.989624,179.957870,10.622442,13.242393,-10.825094,-19.687500,165.377228,-7.297343,78.705673,211.673981,176.008194,8.490731,8.625419,-13.354593,-7.232848,159.833267,-10.739451,79.938187,102.161049,179.645355,-80.188522,210.736603,176.999542,3.808676,173.433167,-1.040620,18.914116,169.861160,-1.674652
15,0.250000,-3.108383,29.934250,-1.913014,-13.287117,165.010544,-10.552774,-0.353011,0.110206,0.181226,-2.651158,156.761017,175.579849,-160.786911,-75.445686,23.922560,8.788733,11.664805,-13.583530,-10.086973,167.760223,-13.941002,7.277257,13.149822,-16.571203,-16.104507,167.080383,-10.273837,-82.048080,100.989639,179.961731,10.622449,13.242175,-10.825161,-19.691109,165.375122,-7.293701,78.704391,211.674469,176.006485,8.490113,8.624736,-13.354964,-7.235892,159.832764,-10.738832,79.940231,102.160225,179.648773,-80.189064,210.733215,177.005890,3.807502,173.433533,-1.044267,18.911304,169.862305,-1.683998
16,0.266667,-3.111368,29.953041,-1.903732,-13.293600,165.009720,-10.550165,-0.354004,0.109289,0.181000,-2.651377,156.760910,175.576385,-160.776581,-75.440224,23.940294,8.789713,11.665087,-13.583668,-10.095110,167.759674,-13.939249,7.278541,13.150013,-16.571762,-16.111151,167.079193,-10.270225,-82.047516,100.989792,179.958511,10.623338,13.242489,-10.825344,-19.696539,165.373566,-7.289237,78.704391,211.674072,176.003372,8.490864,8.625079,-13.354643,-7.241695,159.832733,-10.738415,79.939331,102.159752,179.646164,-80.189392,210.734085,176.997620,3.803957,173.432922,-1.045930,18.907980,169.864426,-1.695812
17,0.283333,-3.107370,29.967571,-1.896389,-13.301375,165.008896,-10.547414,-0.355335,0.108713,0.181565,-2.652620,156.761795,175.574493,-160.784576,-75.442078,23.928596,8.789653,11.664317,-13.583812,-10.106581,167.758850,-13.934517,7.279034,13.149969,-16.571812,-16.119055,167.078064,-10.266466,-82.046967,100.989784,179.957825,10.623590,13.241961,-10.825418,-19.702459,165.372772,-7.286453,78.702591,211.675781,176.001007,8.489958,8.623288,-13.354935,-7.248101,159.832306,-10.738206,79.938957,102.160172,179.647018,-80.191635,210.735199,176.991730,3.799620,173.432953,-1.047891,18.904594,169.867310,-1.703161
18,0.300000,-3.112944,29.978510,-1.889225,-13.307887,165.009186,-10.546980,-0.356967,0.107960,0.181621,-2.652330,156.761703,175.572128,-160.773254,-75.440216,23.941153,8.790393,11.665384,-13.584084,-10.114314,167.758774,-13.934403,7.279685,13.150728,-16.571985,-16.125713,167.078094,-10.265550,-82.046867,100.989685,179.956314,10.623760,13.242523,-10.825769,-19.708616,165.372650,-7.285094,78.702805,211.675781,175.998169,8.491209,8.625113,-13.355247,-7.253513,159.833313,-10.739154,79.938507,102.161537,179.644958,-80.190941,210.734848,176.986176,3.795314,173.431808,-1.049459,18.899738,169.864777,-1.706117
