Format Version,1.22,Take Name,BRS2 Static,Capture Frame Rate,240.000000,Export Frame Rate,60.000000,Capture Start Time,2020-08-25 02.20.19.750 PM,Total Frames in Take,873,Total Exported Frames,219,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 01:Marker1,RigidBody 01:Marker1,RigidBody 01:Marker1,RigidBody 03:Marker1,RigidBody 03:Marker1,RigidBody 03:Marker1,RigidBody 01:Marker2,RigidBody 01:Marker2,RigidBody 01:Marker2,RigidBody 02:Marker2,RigidBody 02:Marker2,RigidBody 02:Marker2,RigidBody 03:Marker2,RigidBody 03:Marker2,RigidBody 03:Marker2,RigidBody 01:Marker3,RigidBody 01:Marker3,RigidBody 01:Marker3,RigidBody 02:Marker3,RigidBody 02:Marker3,RigidBody 02:Marker3,RigidBody 03:Marker3,RigidBody 03:Marker3,RigidBody 03:Marker3,RigidBody 01:Marker4,RigidBody 01:Marker4,RigidBody 01:Marker4,RigidBody 02:Marker4,RigidBody 02:Marker4,RigidBody 02:Marker4,RigidBody 02:Marker5,RigidBody 02:Marker5,RigidBody 02:Marker5,Unlabeled 1012,Unlabeled 1012,Unlabeled 1012,Unlabeled 1013,Unlabeled 1013,Unlabeled 1013
,,"751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","C44E0","C44E0","C44E0","C38A0","C38A0","C38A0","C30F2E15E71811EA42374A447B10EF86","C30F2E15E71811EA42374A447B10EF86","C30F2E15E71811EA42374A447B10EF86","C4B80","C4B80","C4B80","C3910","C3910","C3910","C30F2E16E71811EA42374A447B10EF86","C30F2E16E71811EA42374A447B10EF86","C30F2E16E71811EA42374A447B10EF86","C3520","C3520","C3520","C3920","C3920","C3920","C3930","C3930","C3930","C4AE0","C4AE0","C4AE0","C3510","C3510","C3510","C4C00","C4C00","C4C00","C4C10","C4C10","C4C10"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,10.475583,27.337748,5.697358,-14.360240,163.944733,-0.182104,-0.095781,0.908837,0.363557,1.674957,155.830002,174.708771,-6.338381,-12.790294,-4.818722,12.767058,16.795710,-5.156802,-11.383529,167.275818,-3.246927,14.561655,15.378454,-2.308871,-17.302748,165.781250,0.336126,-77.481445,99.837807,179.867416,10.877150,15.171236,-7.795156,-20.781631,163.491577,3.153235,82.774940,210.940384,174.183685,12.892389,19.863819,-5.369462,-7.999954,159.213287,-0.949210,84.480385,101.538467,177.301880,-75.945404,209.530975,177.416016,2.029027,173.880020,8.362937,7.336544,166.765274,12.073273
1,0.016667,10.489346,27.327793,5.724076,-14.358501,163.947052,-0.174881,-0.093672,0.910370,0.363503,1.674083,155.830612,174.709427,-6.339824,-12.786902,-4.820238,12.766351,16.795803,-5.157013,-11.381598,167.279907,-3.236639,14.560884,15.378551,-2.309257,-17.301828,165.782242,0.343458,-77.482437,99.838112,179.868073,10.876569,15.171546,-7.795180,-20.780542,163.489960,3.158671,82.774353,210.940643,174.182541,12.891656,19.863726,-5.369671,-7.996647,159.219467,-0.943720,84.479614,101.538971,177.298645,-75.946854,209.531754,177.423401,2.022329,173.885361,8.382219,7.329121,166.771561,12.089461
2,0.033333,10.499363,27.319626,5.743110,-14.358091,163.949219,-0.167960,-0.094621,0.908548,0.363669,1.674637,155.829590,174.708923,-6.343278,-12.783674,-4.819779,12.766725,16.796112,-5.157672,-11.381440,167.283768,-3.228587,14.561610,15.379082,-2.309836,-17.302002,165.783447,0.350410,-77.482292,99.837585,179.865646,10.876848,15.171756,-7.795679,-20.780657,163.489334,3.164196,82.774673,210.940338,174.184845,12.891802,19.863928,-5.370576,-7.994755,159.223358,-0.936812,84.481094,101.537346,177.303696,-75.946030,209.529907,177.417740,2.016728,173.889603,8.397877,7.324492,166.775986,12.103766
3,0.050000,10.513302,27.304373,5.750786,-14.360030,163.950195,-0.160355,-0.096902,0.908311,0.363581,1.674373,155.829376,174.708313,-6.346202,-12.779606,-4.818933,12.766348,16.796459,-5.158603,-11.383511,167.285736,-3.218591,14.561598,15.379643,-2.310737,-17.304213,165.784058,0.357738,-77.481972,99.836937,179.867859,10.875578,15.171456,-7.796412,-20.783508,163.488846,3.169840,82.773994,210.939758,174.182343,12.891677,19.864508,-5.371730,-7.996074,159.224808,-0.928628,84.480148,101.537415,177.304031,-75.946487,209.530884,177.414459,2.011757,173.889618,8.410454,7.318529,166.777283,12.115849
4,0.066667,10.510795,27.221458,5.749369,-14.367090,163.951462,-0.155018,-0.096359,0.909058,0.363662,1.674397,155.829544,174.707260,-6.347814,-12.775371,-4.815362,12.766433,16.797186,-5.159160,-11.385337,167.286606,-3.209960,14.562183,15.380446,-2.311117,-17.311481,165.786194,0.358797,-77.481392,99.838242,179.865311,10.875485,15.172047,-7.796860,-20.795420,163.492142,3.166085,82.774361,210.940094,174.181808,12.891689,19.865482,-5.372602,-8.003068,159.223587,-0.913459,84.480240,101.537643,177.301529,-75.946342,209.530228,177.414322,2.009821,173.889893,8.420581,7.313560,166.777222,12.129068
5,0.083333,10.506536,27.232353,5.753230,-14.368484,163.950989,-0.145207,-0.096142,0.908403,0.363384,1.675048,155.828918,174.709442,-6.448184,-12.771635,-4.939995,12.764152,16.793222,-5.161631,-11.387422,167.286545,-3.201467,14.561365,15.380680,-2.311949,-17.312958,165.785477,0.369046,-77.480446,99.837746,179.866608,10.874992,15.172897,-7.797826,-20.796186,163.491211,3.177047,82.775322,210.938782,174.185211,12.886603,19.853289,-5.378290,-8.004085,159.223343,-0.904125,84.481216,101.535927,177.305649,-75.946999,209.530762,177.417511,2.006626,173.889832,8.430213,7.309405,166.777039,12.139977
