Format Version,1.22,Take Name,BJS2 stand10min,Capture Frame Rate,240.000000,Export Frame Rate,60.000000,Capture Start Time,2020-08-25 03.47.42.947 PM,Total Frames in Take,76769,Total Exported Frames,19193,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03
,,"751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,6.430016,-5.897418,5.364106,-1.457925,157.452866,-26.537197,-0.040530,0.865023,0.368871,1.747444,155.792709,174.676361,-10.764740,-25.566343,-5.284314,19.268539,8.355066,-18.995871
1,0.016667,6.424748,-5.878464,5.349869,-1.458879,157.450729,-26.534838,-0.040415,0.867224,0.368763,1.747053,155.793259,174.677200,-10.761924,-25.565046,-5.282809,19.268797,8.355166,-18.995922
2,0.033333,6.412208,-5.855367,5.334268,-1.462834,157.448624,-26.531416,-0.045647,0.865556,0.370055,1.747490,155.790771,174.674576,-10.756845,-25.562939,-5.274970,19.268837,8.355327,-18.996141
3,0.050000,6.403955,-5.822717,5.321641,-1.468429,157.446274,-26.528454,-0.044666,0.864601,0.369833,1.747830,155.790543,174.673996,-10.759720,-25.557308,-5.282403,19.268408,8.355489,-18.996483
4,0.066667,6.391039,-5.790487,5.309654,-1.473531,157.443787,-26.524878,-0.041342,0.864907,0.368890,1.748657,155.791428,174.678268,-10.757968,-25.553862,-5.284263,19.268280,8.355832,-18.996370
5,0.083333,6.385686,-5.778602,5.303193,-1.476917,157.441452,-26.521296,-0.039565,0.864219,0.368551,1.748636,155.791122,174.679672,-10.759314,-25.554985,-5.285776,19.267635,8.355422,-18.996185
6,0.100000,6.386365,-5.765117,5.306754,-1.478839,157.440872,-26.517900,-0.043353,0.863337,0.369061,1.748404,155.791168,174.676727,-10.751758,-25.550220,-5.277865,19.268028,8.355660,-18.996338
7,0.116667,6.391121,-5.762117,5.304233,-1.481369,157.441620,-26.515406,-0.044020,0.864914,0.369134,1.748974,155.790085,174.680923,-10.754989,-25.547831,-5.285662,19.268578,8.355758,-18.996372
8,0.133333,6.398533,-5.763823,5.305340,-1.483325,157.441895,-26.512903,-0.048306,0.863611,0.369543,1.747911,155.789307,174.676575,-10.754379,-25.549141,-5.287097,19.268942,8.356018,-18.996378
9,0.150000,6.393787,-5.768289,5.310736,-1.484959,157.441956,-26.510578,-0.046483,0.863981,0.368667,1.747803,155.790527,174.678421,-10.749141,-25.544756,-5.282695,19.268438,8.355997,-18.996130
10,0.166667,6.390367,-5.779531,5.319587,-1.486352,157.441650,-26.508532,-0.046365,0.864225,0.369103,1.747939,155.791580,174.676331,-10.749480,-25.542122,-5.280468,19.268017,8.355822,-18.996208
11,0.183333,6.388140,-5.785402,5.331754,-1.488374,157.441360,-26.506502,-0.046247,0.864834,0.368815,1.747700,155.790909,174.676529,-10.746410,-25.541550,-5.278467,19.267925,8.355730,-18.996574
12,0.200000,6.388286,-5.790455,5.343240,-1.492474,157.441116,-26.504908,-0.044034,0.863638,0.368816,1.747866,155.790924,174.677429,-10.750945,-25.541470,-5.283985,19.268511,8.355895,-18.996965
13,0.216667,6.383028,-5.788994,5.358088,-1.497619,157.439697,-26.502789,-0.044840,0.864463,0.369215,1.747786,155.790909,174.677826,-10.754930,-25.538471,-5.286042,19.268538,8.355509,-18.997522
14,0.233333,6.374170,-5.782308,5.373736,-1.504236,157.437744,-26.500383,-0.046257,0.866343,0.368901,1.747467,155.790634,174.676971,-10.757927,-25.542938,-5.289771,19.268663,8.354939,-18.997175
15,0.250000,6.362725,-5.774890,5.386309,-1.512050,157.435791,-26.497269,-0.045210,0.866759,0.368657,1.747095,155.791275,174.677689,-10.753164,-25.551039,-5.288771,19.269463,8.354920,-18.996569
16,0.266667,6.352534,-5.762999,5.400404,-1.521457,157.434662,-26.494070,-0.047588,0.866142,0.369332,1.747093,155.790192,174.675827,-10.755347,-25.546263,-5.294679,19.270386,8.355289,-18.996733
17,0.283333,6.343242,-5.753469,5.411168,-1.531515,157.433960,-26.490393,-0.047779,0.865523,0.369308,1.747442,155.790253,174.675491,-10.750416,-25.538633,-5.294363,19.270472,8.355322,-18.997646
18,0.300000,6.343601,-5.745152,5.419110,-1.541119,157.433624,-26.486401,-0.043152,0.866693,0.368966,1.748278,155.790604,174.680481,-10.747287,-25.538147,-5.291779,19.270891,8.355649,-18.997822
19,0.316667,6.342065,-5.742857,5.427989,-1.550618,157.433746,-26.481665,-0.047511,0.865727,0.369451,1.747393,155.790237,174.674301,-10.747610,-25.532236,-5.296214,19.270369,8.355121,-18.997538
20,0.333333,6.345363,-5.732347,5.437498,-1.560786,157.433533,-26.476151,-0.046209,0.866027,0.368779,1.747953,155.790436,174.676788,-10.741011,-25.530821,-5.294183,19.270000,8.354485,-18.997089
21,0.350000,6.342099,-5.725618,5.448411,-1.570060,157.432907,-26.470631,-0.043961,0.866781,0.368879,1.748115,155.790909,174.679108,-10.744239,-25.529915,-5.297173,19.270981,8.355247,-18.997105
22,0.366667,6.342197,-5.721103,5.458493,-1.579026,157.431671,-26.464281,-0.044092,0.865152,0.368790,1.747752,155.791702,174.677536,-10.742248,-25.527733,-5.297811,19.270803,8.354918,-18.997210
23,0.383333,6.339686,-5.725840,5.471027,-1.588492,157.429916,-26.457256,-0.043739,0.865615,0.368783,1.748219,155.791290,174.676804,-10.738201,-25.526648,-5.298225,19.270832,8.354267,-18.997133
24,0.400000,6.342183,-5.728371,5.484667,-1.597771,157.428040,-26.449293,-0.043237,0.866710,0.368360,1.747537,155.791733,174.679123,-10.737723,-25.526815,-5.304254,19.271919,8.354412,-18.996643
25,0.416667,6.333493,-5.729561,5.500901,-1.606395,157.426010,-26.440138,-0.044138,0.865116,0.368975,1.748008,155.792023,174.677521,-10.738089,-25.531279,-5.315649,19.272659,8.354518,-18.996046
26,0.433333,6.327041,-5.729115,5.518503,-1.614778,157.424133,-26.430534,-0.044594,0.865275,0.368865,1.747375,155.791122,174.676819,-10.732668,-25.531183,-5.315612,19.272840,8.354736,-18.995514
27,0.450000,6.322778,-5.725652,5.536500,-1.623061,157.422318,-26.420610,-0.045178,0.865999,0.369144,1.747556,155.790817,174.679214,-10.728070,-25.528776,-5.316181,19.272392,8.354379,-18.995029
28,0.466667,6.321090,-5.724841,5.556633,-1.630605,157.421524,-26.411108,-0.043244,0.864714,0.368838,1.748335,155.791534,174.677963,-10.723849,-25.531145,-5.317836,19.272606,8.354765,-18.994671
29,0.483333,6.308356,-5.725188,5.564944,-1.637921,157.421539,-26.400883,-0.042727,0.865103,0.368968,1.748634,155.791077,174.678452,-10.720740,-25.530430,-5.320248,19.272673,8.354608,-18.994200
30,0.500000,6.304378,-5.726105,5.583605,-1.645364,157.422852,-26.390018,-0.044113,0.863662,0.369490,1.748312,155.790573,174.676468,-10.692111,-25.504681,-5.303018,19.272894,8.353600,-18.994083
31,0.516667,6.311156,-5.730639,5.598444,-1.652430,157.424850,-26.379303,-0.041502,0.864370,0.368853,1.748393,155.791748,174.677032,-10.710907,-25.534868,-5.328767,19.271942,8.354765,-18.992666
32,0.533333,6.318824,-5.728354,5.612269,-1.658838,157.426483,-26.368618,-0.042103,0.864077,0.368554,1.748039,155.792679,174.675629,-10.706903,-25.529154,-5.333488,19.271587,8.354780,-18.991648
33,0.550000,6.326706,-5.730060,5.627533,-1.665753,157.428436,-26.356691,-0.041540,0.862439,0.368284,1.749126,155.792160,174.676407,-10.700203,-25.537029,-5.335560,19.271481,8.354788,-18.990370
34,0.566667,6.341420,-5.737849,5.647563,-1.671394,157.430374,-26.344692,-0.043363,0.863139,0.368870,1.749026,155.791519,174.674194,-10.696048,-25.540178,-5.344089,19.271420,8.354920,-18.989014
35,0.583333,6.349061,-5.737364,5.664776,-1.677330,157.431595,-26.332130,-0.042722,0.862875,0.369267,1.748272,155.790787,174.674316,-10.690008,-25.538448,-5.351945,19.271482,8.355006,-18.987795
36,0.600000,6.349484,-5.737255,5.678695,-1.681873,157.431671,-26.319033,-0.040873,0.864325,0.369211,1.748124,155.791504,174.675430,-10.680109,-25.537981,-5.345562,19.271341,8.355178,-18.986559
37,0.616667,6.331170,-5.728578,5.690397,-1.685404,157.431900,-26.306000,-0.040101,0.863576,0.368952,1.748720,155.791534,174.676254,-10.676395,-25.532946,-5.358688,19.270008,8.355042,-18.985390
38,0.633333,6.309746,-5.728139,5.703579,-1.685739,157.432480,-26.291958,-0.041455,0.864305,0.368792,1.748885,155.790863,174.678116,-10.665606,-25.528131,-5.357456,19.268673,8.355898,-18.983536
