Format Version,1.22,Take Name,CS1T_tran,Capture Frame Rate,240.000000,Export Frame Rate,60.000000,Capture Start Time,2021-04-02 12.01.03.540 PM,Total Frames in Take,1263,Total Exported Frames,317,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 01:Marker1,RigidBody 01:Marker1,RigidBody 01:Marker1,RigidBody 03:Marker1,RigidBody 03:Marker1,RigidBody 03:Marker1,RigidBody 01:Marker2,RigidBody 01:Marker2,RigidBody 01:Marker2,RigidBody 02:Marker2,RigidBody 02:Marker2,RigidBody 02:Marker2,RigidBody 03:Marker2,RigidBody 03:Marker2,RigidBody 03:Marker2,RigidBody 01:Marker3,RigidBody 01:Marker3,RigidBody 01:Marker3,RigidBody 02:Marker3,RigidBody 02:Marker3,RigidBody 02:Marker3,RigidBody 03:Marker3,RigidBody 03:Marker3,RigidBody 03:Marker3,RigidBody 01:Marker4,RigidBody 01:Marker4,RigidBody 01:Marker4,RigidBody 02:Marker4,RigidBody 02:Marker4,RigidBody 02:Marker4,RigidBody 02:Marker5,RigidBody 02:Marker5,RigidBody 02:Marker5,Unlabeled 1014,Unlabeled 1014,Unlabeled 1014,Unlabeled 1016,Unlabeled 1016,Unlabeled 1016
,,"751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","C6950","C6950","C6950","C79D0","C79D0","C79D0","C0BFDF2C93E511EB42374A447B10F586","C0BFDF2C93E511EB42374A447B10F586","C0BFDF2C93E511EB42374A447B10F586","C80D0","C80D0","C80D0","C79B0","C79B0","C79B0","C8160","C8160","C8160","C0BFDF2D93E511EB42374A447B10F586","C0BFDF2D93E511EB42374A447B10F586","C0BFDF2D93E511EB42374A447B10F586","C79A0","C79A0","C79A0","C72A0","C72A0","C72A0","C7A50","C7A50","C7A50","C3E10","C3E10","C3E10","C8030","C8030","C8030","C8150","C8150","C8150"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-3.400743,27.454311,-4.264112,-7.239096,166.446976,-21.754410,-0.347996,0.105831,0.177574,-2.649031,156.765747,175.577286,173.880157,38.493732,-178.004196,17.160904,13.821499,-23.763992,-3.823423,169.005295,-25.061518,16.655466,11.989903,-26.885017,-9.994102,168.614822,-21.654165,-82.051865,100.994583,179.955048,17.622173,12.604547,-20.349983,-13.729538,167.091461,-18.801048,78.709953,211.674026,176.014954,17.220921,16.888075,-24.055550,-1.396908,161.068451,-21.523329,79.946724,102.154961,179.659561,-80.189224,210.747498,177.007492,24.826931,172.015381,-16.020685,10.322771,175.411041,-12.589651
1,0.016667,-3.414021,27.455688,-4.278491,-7.231500,166.445114,-21.762636,-0.345846,0.107121,0.177935,-2.649435,156.766830,175.576782,173.883163,38.488937,-178.001968,17.161352,13.821136,-23.763809,-3.814568,169.001633,-25.071407,16.655714,11.989885,-26.884872,-9.986019,168.613617,-21.663116,-82.051926,100.994995,179.954483,17.622934,12.604043,-20.350019,-13.720523,167.091721,-18.809923,78.709221,211.675598,176.014679,17.221445,16.887672,-24.055099,-1.391581,161.065689,-21.529610,79.946457,102.156258,179.655075,-80.189774,210.747604,177.010391,24.836294,172.007828,-16.034348,10.331576,175.407486,-12.598747
2,0.033333,-3.419267,27.448122,-4.289946,-7.222556,166.443970,-21.770794,-0.347525,0.106304,0.177951,-2.649608,156.765564,175.577454,173.888718,38.488693,-178.002563,17.161659,13.820620,-23.762953,-3.804622,168.999619,-25.080099,16.655428,11.989188,-26.884483,-9.976723,168.612961,-21.672064,-82.052635,100.994316,179.955292,17.623840,12.603662,-20.349031,-13.712456,167.091629,-18.818399,78.709015,211.674377,176.014893,17.221609,16.887100,-24.053997,-1.383924,161.063278,-21.535534,79.946335,102.155647,179.657654,-80.189598,210.746048,177.007935,24.846788,172.001297,-16.044838,10.342172,175.404556,-12.606931
3,0.050000,-3.426724,27.459629,-4.294779,-7.212953,166.443558,-21.778841,-0.345211,0.106472,0.178104,-2.649647,156.766235,175.576416,173.885834,38.484463,-177.994553,17.163429,13.821522,-23.762526,-3.795313,168.997314,-25.088263,16.657852,11.991179,-26.883713,-9.966911,168.612808,-21.679937,-82.052292,100.994659,179.951187,17.624933,12.603717,-20.348804,-13.703977,167.092621,-18.824989,78.708839,211.675232,176.015839,17.223635,16.887943,-24.053595,-1.373162,161.062866,-21.544807,79.945404,102.157043,179.652924,-80.189407,210.746185,177.009842,24.856802,171.993622,-16.048664,10.352484,175.401230,-12.614936
4,0.066667,-3.433358,27.454218,-4.309096,-7.204967,166.443604,-21.784491,-0.349228,0.105788,0.177988,-2.649920,156.765015,175.575851,173.886169,38.487312,-177.987778,17.163710,13.821198,-23.762949,-3.785626,168.995575,-25.094255,16.657812,11.990857,-26.884443,-9.958469,168.613464,-21.686384,-82.052208,100.996674,179.951019,17.624947,12.603092,-20.349213,-13.696768,167.094131,-18.830589,78.708672,211.673904,176.012405,17.224487,16.887880,-24.053726,-1.366943,161.062332,-21.549107,79.945984,102.155197,179.658081,-80.189690,210.743896,177.003174,24.866152,171.983948,-16.052645,10.360092,175.396454,-12.619102
5,0.083333,-3.438121,27.459171,-4.321089,-7.197283,166.443863,-21.788818,-0.348230,0.105979,0.178111,-2.649376,156.764572,175.577240,173.883194,38.489986,-177.984879,17.164583,13.821924,-23.763134,-3.777830,168.994598,-25.099131,16.658863,11.991588,-26.884525,-9.950363,168.614273,-21.690897,-82.051849,100.994637,179.952332,17.625481,12.603827,-20.349493,-13.689320,167.096207,-18.834362,78.709114,211.673615,176.014465,17.225378,16.888510,-24.053936,-1.360009,161.061340,-21.552759,79.945564,102.156052,179.657501,-80.188713,210.743546,177.007507,24.873171,171.973511,-16.057098,10.368650,175.393814,-12.622791
6,0.100000,-3.433051,27.455284,-4.330062,-7.189816,166.444153,-21.791845,-0.345834,0.107252,0.178157,-2.649317,156.764755,175.579483,173.887039,38.481346,-177.989807,17.165186,13.822690,-23.763081,-3.770143,168.994934,-25.101763,16.658762,11.992100,-26.884502,-9.942612,168.614929,-21.694098,-82.051949,100.994339,179.953384,17.626886,12.604779,-20.349539,-13.681720,167.097015,-18.836885,78.709137,211.673859,176.017197,17.225796,16.889257,-24.053793,-1.354498,161.061035,-21.555338,79.946182,102.154610,179.658798,-80.189339,210.743576,177.016907,24.881300,171.968277,-16.058826,10.377167,175.392838,-12.625992
