Format Version,1.22,Take Name,CS1_tran,Capture Frame Rate,240.000000,Export Frame Rate,60.000000,Capture Start Time,2021-04-02 11.20.45.254 AM,Total Frames in Take,1053,Total Exported Frames,264,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 01:Marker1,RigidBody 01:Marker1,RigidBody 01:Marker1,RigidBody 03:Marker1,RigidBody 03:Marker1,RigidBody 03:Marker1,RigidBody 01:Marker2,RigidBody 01:Marker2,RigidBody 01:Marker2,RigidBody 02:Marker2,RigidBody 02:Marker2,RigidBody 02:Marker2,RigidBody 03:Marker2,RigidBody 03:Marker2,RigidBody 03:Marker2,RigidBody 01:Marker3,RigidBody 01:Marker3,RigidBody 01:Marker3,RigidBody 02:Marker3,RigidBody 02:Marker3,RigidBody 02:Marker3,RigidBody 03:Marker3,RigidBody 03:Marker3,RigidBody 03:Marker3,RigidBody 01:Marker4,RigidBody 01:Marker4,RigidBody 01:Marker4,RigidBody 02:Marker4,RigidBody 02:Marker4,RigidBody 02:Marker4,RigidBody 02:Marker5,RigidBody 02:Marker5,RigidBody 02:Marker5,Unlabeled 1013,Unlabeled 1013,Unlabeled 1013,Unlabeled 1016,Unlabeled 1016,Unlabeled 1016,Unlabeled 1247,Unlabeled 1247,Unlabeled 1247,Unlabeled 1314,Unlabeled 1314,Unlabeled 1314,Unlabeled 1351,Unlabeled 1351,Unlabeled 1351,Unlabeled 1410,Unlabeled 1410,Unlabeled 1410,Unlabeled 1514,Unlabeled 1514,Unlabeled 1514,Unlabeled 1582,Unlabeled 1582,Unlabeled 1582,Unlabeled 1683,Unlabeled 1683,Unlabeled 1683,Unlabeled 1816,Unlabeled 1816,Unlabeled 1816,Unlabeled 2283,Unlabeled 2283,Unlabeled 2283,Unlabeled 2371,Unlabeled 2371,Unlabeled 2371,Unlabeled 2746,Unlabeled 2746,Unlabeled 2746,Unlabeled 2756,Unlabeled 2756,Unlabeled 2756,Unlabeled 2805,Unlabeled 2805,Unlabeled 2805,Unlabeled 3097,Unlabeled 3097,Unlabeled 3097
,,"751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","215A82D593E011EB42374A447B10F586","215A82D593E011EB42374A447B10F586","215A82D593E011EB42374A447B10F586","1346A0","1346A0","1346A0","215A82D693E011EB42374A447B10F586","215A82D693E011EB42374A447B10F586","215A82D693E011EB42374A447B10F586","1362D0","1362D0","1362D0","1340B0","1340B0","1340B0","215A82D793E011EB42374A447B10F586","215A82D793E011EB42374A447B10F586","215A82D793E011EB42374A447B10F586","215A82D893E011EB42374A447B10F586","215A82D893E011EB42374A447B10F586","215A82D893E011EB42374A447B10F586","134610","134610","134610","12F940","12F940","12F940","1360C0","1360C0","1360C0","1270D0","1270D0","1270D0","135F20","135F20","135F20","136C30","136C30","136C30","136D60","136D60","136D60","136D40","136D40","136D40","136D10","136D10","136D10","136D70","136D70","136D70","136DB0","136DB0","136DB0","136DD0","136DD0","136DD0","136DA0","136DA0","136DA0","136E00","136E00","136E00","136E20","136E20","136E20","136E40","136E40","136E40","136E70","136E70","136E70","136E30","136E30","136E30","136EA0","136EA0","136EA0","136ED0","136ED0","136ED0"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.016667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.033333,-7.478000,43.217087,0.660657,-13.312210,166.723007,-0.910760,-0.358452,0.098737,0.176369,-2.647895,156.769989,175.580154,177.192825,29.826914,-179.626129,16.294447,14.847885,0.178370,-11.039056,169.352814,-5.107731,15.338655,13.140104,-2.910288,-16.029650,168.779510,-0.082465,-82.039307,101.012360,179.935623,17.285814,13.498298,3.419279,-18.819088,167.179565,3.782837,78.712158,211.676697,176.017899,16.275352,17.924061,0.023223,-7.384191,161.579193,-2.212888,79.927658,102.162186,179.662949,-80.180878,210.747498,176.983765,19.682074,172.689682,-3.569198,5.386027,176.813095,2.890050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.050000,-7.463554,43.174492,0.632909,-13.302453,166.724533,-0.925721,-0.355961,0.099638,0.176629,-2.648070,156.770203,175.581436,177.181870,29.828041,-179.616394,16.294374,14.846868,0.176702,-11.025348,169.353439,-5.121119,15.338628,13.139065,-2.911743,-16.020020,168.781784,-0.099717,-82.039803,101.011513,179.935272,17.285812,13.497853,3.417620,-18.812887,167.182861,3.763527,78.711761,211.677261,176.020279,16.275345,17.922653,0.021305,-7.374594,161.579147,-2.222937,79.929047,102.160500,179.665802,-80.181755,210.747391,176.991837,19.696716,172.680405,-3.571552,5.398133,176.808868,2.881759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.066667,-7.456594,43.148941,0.603246,-13.294535,166.726929,-0.937648,-0.355474,0.098391,0.176066,-2.647045,156.771439,175.582855,177.172348,29.827770,-179.616745,16.294041,14.846245,0.175351,-11.014537,169.354126,-5.132539,15.338102,13.137731,-2.912776,-16.011854,168.785233,-0.113458,-82.040047,101.013054,179.935547,17.284994,13.497344,3.416581,-18.807125,167.188095,3.748786,78.713295,211.677689,176.023941,16.275534,17.922470,0.019350,-7.367843,161.579285,-2.230632,79.929466,102.161171,179.667801,-80.179413,210.749298,176.990326,19.706696,172.674896,-3.577870,5.409671,176.806992,2.872235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.083333,-7.446532,43.138599,0.582738,-13.287015,166.730392,-0.947037,-0.356661,0.098173,0.176374,-2.647234,156.771027,175.582001,177.162262,29.826546,-179.614288,16.294430,14.845785,0.174580,-11.005506,169.356766,-5.141624,15.338187,13.136782,-2.913455,-16.004026,168.789383,-0.123567,-82.039162,101.014366,179.933624,17.286188,13.498009,3.416090,-18.800495,167.193176,3.738192,78.712807,211.677734,176.022263,16.275511,17.921490,0.018171,-7.361393,161.581192,-2.238256,79.929604,102.162155,179.666275,-80.180565,210.747711,176.988388,19.713736,172.670334,-3.587562,5.420304,176.806030,2.862430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
