Format Version,1.22,Take Name,CS2T_tran_003,Capture Frame Rate,240.000000,Export Frame Rate,60.000000,Capture Start Time,2021-04-03 11.50.52.549 AM,Total Frames in Take,1300,Total Exported Frames,326,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 01:Marker1,RigidBody 01:Marker1,RigidBody 01:Marker1,RigidBody 03:Marker1,RigidBody 03:Marker1,RigidBody 03:Marker1,RigidBody 01:Marker2,RigidBody 01:Marker2,RigidBody 01:Marker2,RigidBody 02:Marker2,RigidBody 02:Marker2,RigidBody 02:Marker2,RigidBody 03:Marker2,RigidBody 03:Marker2,RigidBody 03:Marker2,RigidBody 01:Marker3,RigidBody 01:Marker3,RigidBody 01:Marker3,RigidBody 02:Marker3,RigidBody 02:Marker3,RigidBody 02:Marker3,RigidBody 03:Marker3,RigidBody 03:Marker3,RigidBody 03:Marker3,RigidBody 01:Marker4,RigidBody 01:Marker4,RigidBody 01:Marker4,RigidBody 02:Marker4,RigidBody 02:Marker4,RigidBody 02:Marker4,RigidBody 02:Marker5,RigidBody 02:Marker5,RigidBody 02:Marker5,Unlabeled 173700,Unlabeled 173700,Unlabeled 173700,Unlabeled 173701,Unlabeled 173701,Unlabeled 173701,Unlabeled 173740,Unlabeled 173740,Unlabeled 173740,Unlabeled 173825,Unlabeled 173825,Unlabeled 173825,Unlabeled 173886,Unlabeled 173886,Unlabeled 173886,Unlabeled 173959,Unlabeled 173959,Unlabeled 173959,Unlabeled 174011,Unlabeled 174011,Unlabeled 174011,Unlabeled 174057,Unlabeled 174057,Unlabeled 174057,Unlabeled 174170,Unlabeled 174170,Unlabeled 174170,Unlabeled 174200,Unlabeled 174200,Unlabeled 174200,Unlabeled 174213,Unlabeled 174213,Unlabeled 174213,Unlabeled 174239,Unlabeled 174239,Unlabeled 174239,Unlabeled 174307,Unlabeled 174307,Unlabeled 174307,Unlabeled 174329,Unlabeled 174329,Unlabeled 174329,Unlabeled 174349,Unlabeled 174349,Unlabeled 174349,Unlabeled 174378,Unlabeled 174378,Unlabeled 174378,Unlabeled 174425,Unlabeled 174425,Unlabeled 174425,Unlabeled 174464,Unlabeled 174464,Unlabeled 174464,Unlabeled 174559,Unlabeled 174559,Unlabeled 174559,Unlabeled 174583,Unlabeled 174583,Unlabeled 174583,Unlabeled 174622,Unlabeled 174622,Unlabeled 174622,Unlabeled 174701,Unlabeled 174701,Unlabeled 174701,Unlabeled 174796,Unlabeled 174796,Unlabeled 174796,Unlabeled 174825,Unlabeled 174825,Unlabeled 174825,Unlabeled 174831,Unlabeled 174831,Unlabeled 174831,Unlabeled 174832,Unlabeled 174832,Unlabeled 174832,Unlabeled 174833,Unlabeled 174833,Unlabeled 174833
,,"751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","10C4B0","10C4B0","10C4B0","10DE40","10DE40","10DE40","10E540","10E540","10E540","10E7D0","10E7D0","10E7D0","10DF70","10DF70","10DF70","10E670","10E670","10E670","7FCADD0D94AD11EB42374A447B10F586","7FCADD0D94AD11EB42374A447B10F586","7FCADD0D94AD11EB42374A447B10F586","10DFB0","10DFB0","10DFB0","10BFE0","10BFE0","10BFE0","10E040","10E040","10E040","109EE0","109EE0","109EE0","10E290","10E290","10E290","10E650","10E650","10E650","10E910","10E910","10E910","10E920","10E920","10E920","10E930","10E930","10E930","10E940","10E940","10E940","10E950","10E950","10E950","10E970","10E970","10E970","10E980","10E980","10E980","10E990","10E990","10E990","10E9A0","10E9A0","10E9A0","10E9B0","10E9B0","10E9B0","10E9D0","10E9D0","10E9D0","10E9C0","10E9C0","10E9C0","10E9E0","10E9E0","10E9E0","10EA00","10EA00","10EA00","10EA10","10EA10","10EA10","10EA30","10EA30","10EA30","10EA50","10EA50","10EA50","10EA20","10EA20","10EA20","10EA60","10EA60","10EA60","10EA80","10EA80","10EA80","10EAA0","10EAA0","10EAA0","10EAB0","10EAB0","10EAB0","10EAD0","10EAD0","10EAD0","10EAE0","10EAE0","10EAE0","10EAF0","10EAF0","10EAF0"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.826511,57.321236,-9.240475,-10.463671,168.437988,-20.963276,-0.349534,0.103560,0.180640,-2.642837,156.765381,175.581757,178.074020,-44.306526,-0.110566,18.012815,14.037712,-19.176596,-8.939220,170.711990,-25.608164,18.132883,15.491542,-22.533239,-12.642929,170.819885,-19.561550,-82.039413,100.995728,179.947250,17.876724,15.679065,-15.913764,-14.588480,169.633667,-15.202099,78.713188,211.678024,176.021164,18.044525,10.960148,-19.081650,-5.684395,162.589127,-23.487553,79.944565,102.167953,179.650070,-80.180336,210.737686,177.003403,22.598957,169.915039,-28.059113,9.960392,174.873871,-21.073830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.016667,-0.832204,57.301586,-9.229223,-10.462501,168.437119,-20.959023,-0.351174,0.103696,0.181040,-2.642870,156.764908,175.581757,178.085526,-44.307243,-0.103147,18.012753,14.037668,-19.175093,-8.937006,170.711517,-25.602413,18.132883,15.491841,-22.531540,-12.643014,170.818726,-19.558037,-82.038918,100.994751,179.949829,17.876335,15.678196,-15.912210,-14.588758,169.632202,-15.199977,78.712784,211.678177,176.019394,18.044714,10.960629,-19.080378,-5.681568,162.588730,-23.482016,79.944412,102.169121,179.648163,-80.180885,210.737305,177.000397,22.601841,169.917389,-28.042826,9.960442,174.874771,-21.062157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.033333,-0.847759,57.281120,-9.210070,-10.462442,168.437119,-20.953638,-0.350148,0.103321,0.180411,-2.642823,156.765045,175.582825,178.087982,-44.305950,-0.107048,18.012777,14.037418,-19.173687,-8.935432,170.712158,-25.597366,18.132092,15.491157,-22.530308,-12.643771,170.818176,-19.553249,-82.039314,100.995758,179.947845,17.876568,15.677979,-15.910334,-14.591333,169.631165,-15.195346,78.713417,211.677414,176.021988,18.045092,10.960595,-19.079359,-5.679587,162.589569,-23.474863,79.943222,102.167381,179.651779,-80.180283,210.737640,177.005081,22.601805,169.914886,-28.026278,9.959383,174.875702,-21.051861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.050000,-0.854655,57.262192,-9.199698,-10.463007,168.437836,-20.948120,-0.352264,0.103600,0.180999,-2.642751,156.763931,175.582870,178.098404,-44.299461,-0.099306,18.013189,14.037907,-19.172783,-8.934450,170.713135,-25.590754,18.133291,15.492122,-22.529057,-12.645451,170.818146,-19.548491,-82.038956,100.995003,179.948975,17.876715,15.678152,-15.909452,-14.593821,169.631760,-15.191197,78.712944,211.677139,176.019608,18.045214,10.961092,-19.078735,-5.678658,162.591034,-23.468382,79.944092,102.167389,179.653595,-80.180252,210.734985,177.003433,22.602533,169.914398,-28.010845,9.957812,174.877090,-21.039024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.066667,-0.855745,57.239388,-9.187255,-10.462605,168.438065,-20.943754,-0.351202,0.103622,0.180802,-2.642895,156.764191,175.583145,178.097870,-44.291912,-0.102767,18.013979,14.038491,-19.172550,-8.932386,170.713943,-25.585588,18.134455,15.492867,-22.528734,-12.645125,170.818115,-19.544807,-82.040138,100.995377,179.949692,17.876987,15.678586,-15.909231,-14.596457,169.630157,-15.187531,78.712990,211.677124,176.020874,18.046104,10.961620,-19.078556,-5.676827,162.592728,-23.463285,79.944603,102.166008,179.654114,-80.180031,210.735245,177.003357,22.606216,169.922348,-27.995104,9.956953,174.880905,-21.027782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.083333,-0.847911,57.213230,-9.184938,-10.461472,168.438980,-20.941034,-0.352999,0.103209,0.180758,-2.643219,156.765015,175.580185,178.036331,-44.329060,-0.134320,18.017290,14.041227,-19.170845,-8.929712,170.716354,-25.581902,18.134340,15.492741,-22.528687,-12.644987,170.818787,-19.542746,-82.039444,100.996613,179.948761,17.876970,15.678988,-15.909062,-14.597983,169.630142,-15.186578,78.712692,211.677887,176.016769,18.056515,10.970184,-19.073471,-5.673588,162.593246,-23.459030,79.943817,102.167404,179.651062,-80.180397,210.736633,176.994781,22.611103,169.935150,-27.977118,9.956587,174.885040,-21.015781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
