Format Version,1.22,Take Name,CS2_tran,Capture Frame Rate,240.000000,Export Frame Rate,60.000000,Capture Start Time,2021-04-03 11.12.42.571 AM,Total Frames in Take,1202,Total Exported Frames,301,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 01:Marker1,RigidBody 01:Marker1,RigidBody 01:Marker1,RigidBody 03:Marker1,RigidBody 03:Marker1,RigidBody 03:Marker1,RigidBody 01:Marker2,RigidBody 01:Marker2,RigidBody 01:Marker2,RigidBody 02:Marker2,RigidBody 02:Marker2,RigidBody 02:Marker2,RigidBody 03:Marker2,RigidBody 03:Marker2,RigidBody 03:Marker2,RigidBody 01:Marker3,RigidBody 01:Marker3,RigidBody 01:Marker3,RigidBody 02:Marker3,RigidBody 02:Marker3,RigidBody 02:Marker3,RigidBody 03:Marker3,RigidBody 03:Marker3,RigidBody 03:Marker3,RigidBody 01:Marker4,RigidBody 01:Marker4,RigidBody 01:Marker4,RigidBody 02:Marker4,RigidBody 02:Marker4,RigidBody 02:Marker4,RigidBody 02:Marker5,RigidBody 02:Marker5,RigidBody 02:Marker5,Unlabeled 1013,Unlabeled 1013,Unlabeled 1013,Unlabeled 1015,Unlabeled 1015,Unlabeled 1015,Unlabeled 1047,Unlabeled 1047,Unlabeled 1047,Unlabeled 1255,Unlabeled 1255,Unlabeled 1255,Unlabeled 3227,Unlabeled 3227,Unlabeled 3227,Unlabeled 3345,Unlabeled 3345,Unlabeled 3345
,,"751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","C5D50","C5D50","C5D50","C5060","C5060","C5060","2D5039A594A811EB42374A447B10F586","2D5039A594A811EB42374A447B10F586","2D5039A594A811EB42374A447B10F586","C6270","C6270","C6270","C4D50","C4D50","C4D50","2D5039A694A811EB42374A447B10F586","2D5039A694A811EB42374A447B10F586","2D5039A694A811EB42374A447B10F586","2D5039A794A811EB42374A447B10F586","2D5039A794A811EB42374A447B10F586","2D5039A794A811EB42374A447B10F586","C4FA0","C4FA0","C4FA0","C6D10","C6D10","C6D10","C65B0","C65B0","C65B0","C3540","C3540","C3540","C6310","C6310","C6310","C6CC0","C6CC0","C6CC0","C6D50","C6D50","C6D50","C6D60","C6D60","C6D60","C6DD0","C6DD0","C6DD0","C6DE0","C6DE0","C6DE0"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-11.442418,48.641197,0.525010,-11.424416,166.481812,-19.776054,-0.367917,0.083345,0.179616,-2.638393,156.808167,175.586304,174.682770,-51.105831,-2.200386,17.986471,14.015141,-14.961299,-9.512540,168.738800,-24.315575,17.669830,15.349590,-18.354393,-14.023731,168.646271,-18.849581,-81.996391,101.079918,179.871628,18.211855,15.765016,-11.759007,-16.461353,167.377716,-14.638874,78.718338,211.719696,176.036804,18.094591,10.949833,-14.770511,-5.730946,161.161087,-21.274790,79.870674,102.263306,179.568008,-80.149559,210.760712,176.924988,20.973270,169.951599,-24.658140,8.137197,175.473511,-17.802769,,,,,,,,,,,,
1,0.016667,-11.457108,48.614189,0.511922,-11.427692,166.480057,-19.799032,-0.367469,0.084145,0.179562,-2.638841,156.808838,175.587921,174.671021,-51.106606,-2.211741,17.985792,14.015653,-14.961683,-9.513285,168.734955,-24.338760,17.669319,15.350371,-18.355003,-14.027346,168.645050,-18.874763,-81.997627,101.081741,179.873230,18.210775,15.765450,-11.759453,-16.467106,167.378418,-14.664716,78.717957,211.720306,176.037720,18.094141,10.950151,-14.770592,-5.733574,161.158401,-21.292868,79.871613,102.263412,179.569580,-80.149734,210.760590,176.927795,20.973530,169.945892,-24.675678,8.135683,175.468033,-17.822361,,,,,,,,,,,,
2,0.033333,-11.494500,48.593510,0.514031,-11.430701,166.478134,-19.821320,-0.368663,0.082799,0.179530,-2.638266,156.807526,175.587280,174.667618,-51.114204,-2.212838,17.985407,14.016514,-14.962107,-9.514654,168.729645,-24.361002,17.668087,15.350676,-18.355417,-14.030884,168.643463,-18.899313,-81.996727,101.080833,179.870346,18.211355,15.766957,-11.759927,-16.471992,167.379242,-14.689322,78.718529,211.718933,176.037842,18.093405,10.950704,-14.771041,-5.735880,161.156830,-21.310612,79.871384,102.262459,179.571960,-80.149010,210.759064,176.925369,20.974119,169.936295,-24.686113,8.133242,175.463715,-17.838350,,,,,,,,,,,,
3,0.050000,-11.490602,48.633591,0.519711,-11.429564,166.472931,-19.839640,-0.369038,0.083891,0.179646,-2.638856,156.807678,175.586105,174.662460,-51.115971,-2.217885,17.984764,14.017156,-14.963131,-9.516781,168.725525,-24.381374,17.667715,15.351682,-18.356464,-14.028938,168.638321,-18.915506,-81.996407,101.081207,179.871323,18.209728,15.766771,-11.761135,-16.467201,167.373688,-14.703992,78.717857,211.719269,176.034760,18.093502,10.951873,-14.771797,-5.734854,161.150665,-21.333616,79.871590,102.262177,179.569672,-80.150459,210.759659,176.924469,20.973461,169.930084,-24.695852,8.130278,175.460449,-17.852110,23.470024,56.906849,-3.547754,,,,,,,,,
4,0.066667,-11.504811,48.612587,0.524342,-11.434518,166.469711,-19.856850,-0.367061,0.082985,0.179275,-2.638294,156.807053,175.589523,174.653824,-51.116821,-2.225494,17.983606,14.016964,-14.962862,-9.520502,168.720932,-24.397346,17.666389,15.351250,-18.356092,-14.034486,168.634933,-18.934029,-81.997208,101.080666,179.871704,18.209059,15.767286,-11.760979,-16.474058,167.370789,-14.723128,78.718765,211.718109,176.041367,18.092293,10.951408,-14.771518,-5.739234,161.148529,-21.348238,79.871513,102.262070,179.571671,-80.148903,210.759018,176.928421,20.971432,169.931625,-24.705225,8.126607,175.458542,-17.864153,,,,,,,,,,,,
5,0.083333,-11.513370,48.596390,0.523204,-11.440002,166.466003,-19.872068,-0.366449,0.084245,0.179807,-2.638322,156.807877,175.588226,174.654129,-51.116199,-2.227544,17.983963,14.017281,-14.962432,-9.525164,168.716614,-24.412495,17.666389,15.351397,-18.355804,-14.040322,168.631271,-18.950329,-81.996689,101.079468,179.873535,18.209627,15.767738,-11.760305,-16.481014,167.367691,-14.739903,78.718224,211.719681,176.038849,18.092533,10.951542,-14.771231,-5.743854,161.144623,-21.360836,79.872124,102.262077,179.569870,-80.149437,210.759689,176.929382,20.966234,169.932693,-24.713606,8.120544,175.457520,-17.875334,,,,,,,,,,,,
