Format Version,1.22,Take Name,KR1T_tran,Capture Frame Rate,240.000000,Export Frame Rate,60.000000,Capture Start Time,2021-04-01 11.27.16.414 AM,Total Frames in Take,1157,Total Exported Frames,290,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 01:Marker1,RigidBody 01:Marker1,RigidBody 01:Marker1,RigidBody 03:Marker1,RigidBody 03:Marker1,RigidBody 03:Marker1,RigidBody 01:Marker2,RigidBody 01:Marker2,RigidBody 01:Marker2,RigidBody 02:Marker2,RigidBody 02:Marker2,RigidBody 02:Marker2,RigidBody 03:Marker2,RigidBody 03:Marker2,RigidBody 03:Marker2,RigidBody 01:Marker3,RigidBody 01:Marker3,RigidBody 01:Marker3,RigidBody 02:Marker3,RigidBody 02:Marker3,RigidBody 02:Marker3,RigidBody 03:Marker3,RigidBody 03:Marker3,RigidBody 03:Marker3,RigidBody 01:Marker4,RigidBody 01:Marker4,RigidBody 01:Marker4,RigidBody 02:Marker4,RigidBody 02:Marker4,RigidBody 02:Marker4,RigidBody 02:Marker5,RigidBody 02:Marker5,RigidBody 02:Marker5,Unlabeled 9241,Unlabeled 9241,Unlabeled 9241,Unlabeled 9435,Unlabeled 9435,Unlabeled 9435,Unlabeled 9436,Unlabeled 9436,Unlabeled 9436
,,"751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","EBA70","EBA70","EBA70","E2294BA6931711EB42374A447B10F486","E2294BA6931711EB42374A447B10F486","E2294BA6931711EB42374A447B10F486","EBC60","EBC60","EBC60","EBDC0","EBDC0","EBDC0","E2294BA7931711EB42374A447B10F486","E2294BA7931711EB42374A447B10F486","E2294BA7931711EB42374A447B10F486","EBC50","EBC50","EBC50","E2294BA5931711EB42374A447B10F486","E2294BA5931711EB42374A447B10F486","E2294BA5931711EB42374A447B10F486","EB070","EB070","EB070","EB350","EB350","EB350","EB460","EB460","EB460","EAD60","EAD60","EAD60","EBD80","EBD80","EBD80","EBDF0","EBDF0","EBDF0","EBD90","EBD90","EBD90"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.016667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.033333,16.539791,2.670491,-7.634183,-2.738595,165.992813,-41.904057,-0.346734,0.107883,0.178768,-2.643858,156.765015,175.577621,173.332642,21.619457,-178.587112,19.893524,10.414520,-34.750854,1.867419,168.763718,-42.572124,18.417454,8.524364,-37.561226,-5.242042,168.480392,-42.131310,-82.044418,100.990059,179.958588,21.236582,9.153236,-31.562128,-9.934083,166.860718,-41.680195,78.714005,211.674957,176.013580,19.980013,13.496983,-35.123909,2.350779,159.867752,-41.233601,79.946915,102.157997,179.648544,-80.182114,210.744659,177.009033,,,,,,,,,
3,0.050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.066667,16.575348,2.679022,-7.665652,-2.721383,166.000061,-41.880241,-0.348129,0.108151,0.179169,-2.643606,156.765152,175.575333,173.338455,21.620665,-178.591232,19.892731,10.416086,-34.749226,1.883076,168.769592,-42.548775,18.416826,8.526040,-37.559757,-5.221721,168.488770,-42.104134,-82.043579,100.990402,179.956223,21.235832,9.154655,-31.560575,-9.916433,166.871765,-41.654560,78.713882,211.675690,176.009567,19.979214,13.498867,-35.122047,2.365928,159.871323,-41.214420,79.948578,102.156807,179.651215,-80.182907,210.744232,177.008057,,,,,,,,,
5,0.083333,16.584490,2.683825,-7.683451,-2.714481,166.002472,-41.869289,-0.349372,0.107913,0.179415,-2.645216,156.765671,175.573975,173.339966,21.626537,-178.588104,19.891850,10.415887,-34.748997,1.889599,168.770752,-42.537872,18.416176,8.526028,-37.559776,-5.214240,168.491867,-42.092983,-82.044273,100.992790,179.954941,21.234560,9.154256,-31.560261,-9.909089,166.876602,-41.642216,78.712036,211.676544,176.007370,19.978148,13.498229,-35.121655,2.372162,159.871979,-41.205204,79.947784,102.157257,179.650696,-80.184021,210.743362,177.000610,,,,,,,,,
