Format Version,1.22,Take Name,KB2T_tran_002,Capture Frame Rate,240.000000,Export Frame Rate,60.000000,Capture Start Time,2021-04-02 06.04.26.622 PM,Total Frames in Take,1439,Total Exported Frames,361,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 01:Marker1,RigidBody 01:Marker1,RigidBody 01:Marker1,RigidBody 03:Marker1,RigidBody 03:Marker1,RigidBody 03:Marker1,RigidBody 01:Marker2,RigidBody 01:Marker2,RigidBody 01:Marker2,RigidBody 02:Marker2,RigidBody 02:Marker2,RigidBody 02:Marker2,RigidBody 03:Marker2,RigidBody 03:Marker2,RigidBody 03:Marker2,RigidBody 01:Marker3,RigidBody 01:Marker3,RigidBody 01:Marker3,RigidBody 02:Marker3,RigidBody 02:Marker3,RigidBody 02:Marker3,RigidBody 03:Marker3,RigidBody 03:Marker3,RigidBody 03:Marker3,RigidBody 01:Marker4,RigidBody 01:Marker4,RigidBody 01:Marker4,RigidBody 02:Marker4,RigidBody 02:Marker4,RigidBody 02:Marker4,RigidBody 02:Marker5,RigidBody 02:Marker5,RigidBody 02:Marker5,Unlabeled 14432,Unlabeled 14432,Unlabeled 14432,Unlabeled 14435,Unlabeled 14435,Unlabeled 14435,Unlabeled 14448,Unlabeled 14448,Unlabeled 14448,Unlabeled 14585,Unlabeled 14585,Unlabeled 14585,Unlabeled 14865,Unlabeled 14865,Unlabeled 14865,Unlabeled 15197,Unlabeled 15197,Unlabeled 15197,Unlabeled 15582,Unlabeled 15582,Unlabeled 15582,Unlabeled 16648,Unlabeled 16648,Unlabeled 16648,Unlabeled 16649,Unlabeled 16649,Unlabeled 16649
,,"751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","ED050","ED050","ED050","ED230","ED230","ED230","885495F0941811EB42374A447B10F586","885495F0941811EB42374A447B10F586","885495F0941811EB42374A447B10F586","ED2E0","ED2E0","ED2E0","ED240","ED240","ED240","885495F1941811EB42374A447B10F586","885495F1941811EB42374A447B10F586","885495F1941811EB42374A447B10F586","885495F2941811EB42374A447B10F586","885495F2941811EB42374A447B10F586","885495F2941811EB42374A447B10F586","ED220","ED220","ED220","ED2D0","ED2D0","ED2D0","ED260","ED260","ED260","E9250","E9250","E9250","ECED0","ECED0","ECED0","ED310","ED310","ED310","ED330","ED330","ED330","ED350","ED350","ED350","ED360","ED360","ED360","ED380","ED380","ED380","ED390","ED390","ED390","ED3A0","ED3A0","ED3A0","ED3B0","ED3B0","ED3B0"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,5.591820,42.704483,-10.115140,-15.503173,161.225891,-8.003693,-0.352937,0.106895,0.181881,-2.643306,156.757034,175.578339,172.486435,15.564283,163.693512,19.095369,14.038764,-10.600545,-12.819706,163.893234,-11.886907,17.928822,11.528168,-12.963772,-17.929585,163.544556,-6.985864,-82.044479,100.976563,179.970978,21.119125,13.668106,-7.592053,-20.979902,161.970596,-3.311694,78.711578,211.671478,176.009750,18.270245,16.949596,-11.245098,-10.310454,155.489288,-9.807515,79.957870,102.146469,179.671616,-80.184662,210.732956,176.997635,18.537231,164.080734,-5.287880,4.197302,167.628189,-1.981241,,,,,,,,,,,,,,,,,,,,,
1,0.016667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.033333,5.814246,43.918198,-10.271887,-15.415144,161.201874,-7.890604,-0.352295,0.109367,0.182246,-2.644444,156.756729,175.579895,172.484268,15.574177,163.699265,19.093761,14.034398,-10.599600,-12.799604,163.885468,-11.875189,17.927269,11.523743,-12.963089,-17.819592,163.518143,-6.816734,-82.046021,100.975403,179.975037,21.117554,13.664068,-7.590642,-21.065458,162.039719,-3.567654,78.710121,211.671661,176.008392,18.268562,16.944996,-11.244378,-10.295046,155.484100,-9.796482,79.957977,102.147270,179.669327,-80.185852,210.731918,177.005844,18.558765,164.070923,-5.310589,4.220699,167.623444,-1.985353,-21.065458,162.039719,-3.567654,,,,,,,,,,,,,,,,,,
3,0.050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.066667,5.806087,43.978012,-10.315357,-15.388811,161.200455,-7.875787,-0.353287,0.108300,0.182482,-2.643049,156.754990,175.581528,172.480392,15.576192,163.708740,19.090982,14.031113,-10.598474,-12.776071,163.880844,-11.865913,17.924219,11.520603,-12.961994,-17.791069,163.518494,-6.800838,-82.043869,100.974487,179.973984,21.114727,13.660717,-7.589385,-21.034218,162.043518,-3.552234,78.711273,211.670258,176.010590,18.265955,16.941544,-11.243369,-10.274037,155.478989,-9.783244,79.958519,102.146957,179.671997,-80.184647,210.729309,177.005875,18.585691,164.058273,-5.321259,4.251618,167.614990,-1.985639,-21.034218,162.043518,-3.552234,,,,,,,,,,,,,,,,,,
5,0.083333,5.587816,42.807770,-10.230435,-15.442260,161.222061,-7.968991,-0.352536,0.108253,0.182650,-2.643767,156.756531,175.580719,172.481720,15.575024,163.700256,19.089880,14.030087,-10.598680,-12.762371,163.879456,-11.859751,17.923405,11.519413,-12.962130,-17.863693,163.545334,-6.949797,-82.044807,100.976929,179.970795,21.113850,13.660160,-7.589707,-20.908915,161.980606,-3.267468,78.710396,211.672043,176.010574,18.264622,16.940413,-11.243516,-10.261885,155.477661,-9.775221,79.957642,102.149223,179.669373,-80.184792,210.729431,177.005981,18.600433,164.045975,-5.325603,4.269154,167.609985,-1.985455,,,,,,,,,,,,,,,,,,,,,
