Format Version,1.22,Take Name,KB2_tran,Capture Frame Rate,240.000000,Export Frame Rate,60.000000,Capture Start Time,2021-04-02 05.19.51.360 PM,Total Frames in Take,1453,Total Exported Frames,364,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 01:Marker1,RigidBody 01:Marker1,RigidBody 01:Marker1,RigidBody 03:Marker1,RigidBody 03:Marker1,RigidBody 03:Marker1,RigidBody 01:Marker2,RigidBody 01:Marker2,RigidBody 01:Marker2,RigidBody 02:Marker2,RigidBody 02:Marker2,RigidBody 02:Marker2,RigidBody 03:Marker2,RigidBody 03:Marker2,RigidBody 03:Marker2,RigidBody 01:Marker3,RigidBody 01:Marker3,RigidBody 01:Marker3,RigidBody 02:Marker3,RigidBody 02:Marker3,RigidBody 02:Marker3,RigidBody 03:Marker3,RigidBody 03:Marker3,RigidBody 03:Marker3,RigidBody 01:Marker4,RigidBody 01:Marker4,RigidBody 01:Marker4,RigidBody 02:Marker4,RigidBody 02:Marker4,RigidBody 02:Marker4,RigidBody 02:Marker5,RigidBody 02:Marker5,RigidBody 02:Marker5,Unlabeled 1015,Unlabeled 1015,Unlabeled 1015,Unlabeled 1016,Unlabeled 1016,Unlabeled 1016
,,"751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","C6C60","C6C60","C6C60","C6BB0","C6BB0","C6BB0","486BC348941211EB42374A447B10F586","486BC348941211EB42374A447B10F586","486BC348941211EB42374A447B10F586","C72C0","C72C0","C72C0","C6AC0","C6AC0","C6AC0","486BC349941211EB42374A447B10F586","486BC349941211EB42374A447B10F586","486BC349941211EB42374A447B10F586","486BC34A941211EB42374A447B10F586","486BC34A941211EB42374A447B10F586","486BC34A941211EB42374A447B10F586","C6B90","C6B90","C6B90","C6280","C6280","C6280","C7130","C7130","C7130","C3910","C3910","C3910","C7970","C7970","C7970","C7A80","C7A80","C7A80"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,3.594553,40.464836,-13.078279,-16.160389,160.962921,-23.851065,-0.363088,0.094057,0.181980,-2.638610,156.787628,175.579712,179.852264,16.111687,164.873352,20.948647,14.921591,-20.847567,-13.245006,163.235291,-27.796703,19.766623,12.775508,-23.534904,-18.518692,163.443146,-23.085182,-82.014030,101.035378,179.913361,22.929707,14.115028,-17.898127,-21.758192,162.254150,-19.428242,78.716003,211.702393,176.019623,20.180964,17.903931,-21.104702,-11.153158,154.910126,-25.070774,79.908119,102.220901,179.602097,-80.162140,210.747177,176.951126,17.900253,163.286880,-19.104660,3.425222,167.111404,-17.529482
1,0.016667,3.604179,40.488224,-13.081689,-16.171295,160.965683,-23.837967,-0.363393,0.094499,0.182021,-2.638869,156.788010,175.578033,179.822021,16.182600,164.898743,20.954346,14.928861,-20.842419,-13.257647,163.238663,-27.784708,19.765169,12.775877,-23.533916,-18.529234,163.445862,-23.070797,-82.013504,101.036156,179.912094,22.946661,14.134434,-17.885859,-21.767258,162.256439,-19.412682,78.715706,211.702820,176.017014,20.181007,17.905308,-21.103390,-11.164524,154.912537,-25.060204,79.907715,102.221001,179.599899,-80.162254,210.747528,176.948853,17.891300,163.288040,-19.104111,3.415268,167.112946,-17.521309
2,0.033333,3.610747,40.503513,-13.084408,-16.182964,160.968521,-23.824129,-0.362007,0.093854,0.181638,-2.638092,156.786865,175.581329,179.832031,16.183058,164.896286,20.953709,14.929208,-20.840988,-13.268910,163.241592,-27.772099,19.765795,12.777521,-23.532495,-18.540651,163.448669,-23.056120,-82.013771,101.035431,179.911850,22.945051,14.133469,-17.884752,-21.777714,162.259018,-19.397236,78.716835,211.701126,176.022568,20.180086,17.905655,-21.101582,-11.176668,154.916000,-25.048798,79.907661,102.220177,179.602814,-80.161377,210.746552,176.955765,17.880255,163.288605,-19.106829,3.405322,167.114807,-17.515738
3,0.050000,3.618405,40.531681,-13.083242,-16.193619,160.969269,-23.809706,-0.361812,0.094330,0.181634,-2.638317,156.787415,175.581039,179.833115,16.183338,164.902893,20.953159,14.929104,-20.839483,-13.280625,163.243103,-27.759567,19.764751,12.777472,-23.531195,-18.551046,163.449203,-23.040176,-82.014069,101.036469,179.912186,22.944513,14.133098,-17.883255,-21.786259,162.258850,-19.379881,78.716621,211.701675,176.021774,20.179874,17.905657,-21.099907,-11.187495,154.917267,-25.037884,79.908928,102.218712,179.604294,-80.161034,210.746902,176.953583,17.870995,163.292557,-19.104040,3.396969,167.115952,-17.507786
4,0.066667,3.607058,40.548332,-13.072926,-16.203503,160.967789,-23.795738,-0.362468,0.094976,0.182023,-2.638176,156.786530,175.581009,179.838211,16.187946,164.906738,20.953302,14.929845,-20.838226,-13.291742,163.241730,-27.746851,19.765022,12.778621,-23.530256,-18.561094,163.447418,-23.025747,-82.013794,101.034370,179.915039,22.944412,14.133349,-17.881882,-21.795094,162.256866,-19.364445,78.716400,211.701340,176.020187,20.180235,17.906544,-21.098423,-11.196989,154.916458,-25.024658,79.908539,102.219917,179.601532,-80.161247,210.745621,176.954300,17.862696,163.294769,-19.095600,3.389123,167.115860,-17.499149
5,0.083333,3.596318,40.560661,-13.067207,-16.213575,160.966202,-23.780634,-0.364233,0.094183,0.181835,-2.639130,156.786652,175.580490,179.843719,16.183260,164.902008,20.952806,14.930318,-20.837393,-13.303733,163.239395,-27.731419,19.764605,12.779289,-23.529451,-18.571228,163.445724,-23.010450,-82.014488,101.034775,179.915283,22.944256,14.133787,-17.881285,-21.804352,162.255325,-19.348324,78.715622,211.701202,176.019119,20.179501,17.907019,-21.097311,-11.207075,154.915573,-25.010092,79.906517,102.220657,179.601624,-80.161285,210.746170,176.948593,17.852146,163.293777,-19.086605,3.380267,167.116364,-17.489784
6,0.100000,3.598466,40.572857,-13.065525,-16.223131,160.966202,-23.765640,-0.362443,0.095588,0.182153,-2.638819,156.786469,175.580673,179.842163,16.174665,164.900986,20.951563,14.930816,-20.836987,-13.314960,163.239975,-27.716763,19.762939,12.779601,-23.528744,-18.580709,163.445587,-22.994820,-82.014595,101.033936,179.914856,22.943016,14.134327,-17.881371,-21.813021,162.254883,-19.332079,78.715652,211.701462,176.019012,20.178604,17.907566,-21.096680,-11.216607,154.915375,-24.996099,79.907593,102.221008,179.599762,-80.161522,210.745056,176.955933,17.842392,163.293365,-19.077927,3.370787,167.116959,-17.478048
