Format Version,1.22,Take Name,PM1_cali,Capture Frame Rate,240.000000,Export Frame Rate,60.000000,Capture Start Time,2021-03-08 01.17.12.245 PM,Total Frames in Take,985,Total Exported Frames,247,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 01:Marker1,RigidBody 01:Marker1,RigidBody 01:Marker1,RigidBody 03:Marker1,RigidBody 03:Marker1,RigidBody 03:Marker1,RigidBody 01:Marker2,RigidBody 01:Marker2,RigidBody 01:Marker2,RigidBody 02:Marker2,RigidBody 02:Marker2,RigidBody 02:Marker2,RigidBody 03:Marker2,RigidBody 03:Marker2,RigidBody 03:Marker2,RigidBody 01:Marker3,RigidBody 01:Marker3,RigidBody 01:Marker3,RigidBody 02:Marker3,RigidBody 02:Marker3,RigidBody 02:Marker3,RigidBody 03:Marker3,RigidBody 03:Marker3,RigidBody 03:Marker3,RigidBody 01:Marker4,RigidBody 01:Marker4,RigidBody 01:Marker4,RigidBody 02:Marker4,RigidBody 02:Marker4,RigidBody 02:Marker4,RigidBody 02:Marker5,RigidBody 02:Marker5,RigidBody 02:Marker5,Unlabeled 1013,Unlabeled 1013,Unlabeled 1013,Unlabeled 1014,Unlabeled 1014,Unlabeled 1014
,,"751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","D4950","D4950","D4950","D4490","D4490","D4490","A4D73EE9805311EB42374A447B10F386","A4D73EE9805311EB42374A447B10F386","A4D73EE9805311EB42374A447B10F386","A4D73EEB805311EB42374A447B10F386","A4D73EEB805311EB42374A447B10F386","A4D73EEB805311EB42374A447B10F386","D4760","D4760","D4760","A4D73EEA805311EB42374A447B10F386","A4D73EEA805311EB42374A447B10F386","A4D73EEA805311EB42374A447B10F386","A4D73EEC805311EB42374A447B10F386","A4D73EEC805311EB42374A447B10F386","A4D73EEC805311EB42374A447B10F386","D4800","D4800","D4800","D49C0","D49C0","D49C0","D46F0","D46F0","D46F0","C3550","C3550","C3550","D4DB0","D4DB0","D4DB0","D4DE0","D4DE0","D4DE0"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.343854,20.788116,-5.008422,-14.057461,174.805130,-10.738510,-0.338528,0.053757,0.183077,-2.591905,156.784607,175.571793,179.306244,38.014889,-179.324570,15.802820,16.975767,-15.844507,-10.262733,177.501160,-13.451910,15.308292,15.398272,-19.099178,-16.793974,176.996750,-10.828081,-81.845856,101.076591,179.649963,16.317772,15.488903,-12.554566,-20.927485,175.349457,-8.486741,78.761086,211.701065,176.092453,15.799867,20.058949,-15.878832,-8.274543,169.353363,-10.168940,79.911507,102.207878,179.606812,-80.168724,210.745712,176.967865,16.122637,177.347656,4.016566,0.850846,182.237091,2.169216
1,0.016667,0.340616,20.781200,-4.993290,-14.063231,174.804230,-10.736528,-0.340997,0.054519,0.183366,-2.592631,156.785019,175.570999,179.326202,38.051537,-179.355927,15.803851,16.974957,-15.844710,-10.268857,177.500748,-13.448945,15.309170,15.394884,-19.100657,-16.800272,176.995163,-10.826353,-81.846260,101.076767,179.652618,16.318718,15.489353,-12.554143,-20.933664,175.346786,-8.485578,78.760101,211.701920,176.088196,15.800876,20.059200,-15.878555,-8.279121,169.354279,-10.166854,79.911514,102.208748,179.607971,-80.169525,210.744995,176.966080,16.115030,177.352936,4.022276,0.841771,182.237854,2.172172
2,0.033333,0.336524,20.775562,-4.980651,-14.068666,174.803101,-10.735150,-0.341688,0.055032,0.183538,-2.592669,156.784698,175.570969,179.263306,38.062759,-179.246414,15.805472,16.974096,-15.844004,-10.274735,177.500412,-13.447076,15.309053,15.395058,-19.100151,-16.806149,176.993484,-10.825233,-81.846092,101.076294,179.653961,16.318359,15.488551,-12.553647,-20.939434,175.344238,-8.484881,78.759903,211.701843,176.086777,15.806437,20.057457,-15.877457,-8.283452,169.354309,-10.164905,79.912491,102.206421,179.611877,-80.169525,210.743790,176.966995,16.108088,177.355042,4.028130,0.833084,182.238770,2.176392
3,0.050000,0.339402,20.774954,-4.974642,-14.073306,174.802460,-10.733208,-0.341093,0.054952,0.183447,-2.592561,156.785339,175.569458,179.239441,38.030529,-179.204330,15.805162,16.975178,-15.842931,-10.279777,177.500641,-13.444987,15.308730,15.398793,-19.097910,-16.811005,176.992569,-10.823130,-81.846069,101.077011,179.651779,16.318184,15.488675,-12.553347,-20.944153,175.342728,-8.482969,78.760094,211.702347,176.085968,15.806320,20.057158,-15.876643,-8.287484,169.353958,-10.163176,79.911331,102.207962,179.606339,-80.168961,210.745758,176.962799,16.102772,177.357483,4.032254,0.825219,182.240219,2.180147
4,0.066667,0.338448,20.783133,-4.963599,-14.078877,174.802216,-10.730585,-0.342351,0.054253,0.183534,-2.592586,156.783752,175.569809,179.242203,38.028549,-179.204681,15.805790,16.975779,-15.842257,-10.286136,177.500992,-13.442594,15.309451,15.399747,-19.097328,-16.816984,176.991837,-10.820005,-81.846062,101.075363,179.652374,16.318476,15.488648,-12.552588,-20.949503,175.341110,-8.479344,78.759964,211.700897,176.086090,15.807075,20.057924,-15.875946,-8.292049,169.354889,-10.161811,79.912247,102.206955,179.609100,-80.169380,210.743423,176.961395,16.098530,177.361679,4.032660,0.819222,182.240387,2.181154
5,0.083333,0.331865,20.781803,-4.955778,-14.085968,174.802124,-10.728547,-0.340473,0.054111,0.183464,-2.592338,156.785385,175.569946,179.247314,38.021889,-179.207443,15.805671,16.976059,-15.841757,-10.293977,177.500885,-13.440427,15.308178,15.399477,-19.097004,-16.824350,176.991394,-10.818179,-81.845879,101.076958,179.650467,16.319513,15.489446,-12.552341,-20.956717,175.340302,-8.477506,78.760284,211.702423,176.088226,15.807014,20.058294,-15.875074,-8.298354,169.355591,-10.159302,79.911995,102.207863,179.608109,-80.169052,210.745544,176.963226,16.093433,177.364960,4.028952,0.813411,182.241486,2.182806
