Format Version,1.22,Take Name,pm2_tran_000,Capture Frame Rate,240.000000,Export Frame Rate,60.000000,Capture Start Time,2021-03-16 10.21.41.696 AM,Total Frames in Take,1003,Total Exported Frames,252,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 01:Marker1,RigidBody 01:Marker1,RigidBody 01:Marker1,RigidBody 03:Marker1,RigidBody 03:Marker1,RigidBody 03:Marker1,RigidBody 01:Marker2,RigidBody 01:Marker2,RigidBody 01:Marker2,RigidBody 02:Marker2,RigidBody 02:Marker2,RigidBody 02:Marker2,RigidBody 03:Marker2,RigidBody 03:Marker2,RigidBody 03:Marker2,RigidBody 01:Marker3,RigidBody 01:Marker3,RigidBody 01:Marker3,RigidBody 02:Marker3,RigidBody 02:Marker3,RigidBody 02:Marker3,RigidBody 03:Marker3,RigidBody 03:Marker3,RigidBody 03:Marker3,RigidBody 01:Marker4,RigidBody 01:Marker4,RigidBody 01:Marker4,RigidBody 02:Marker4,RigidBody 02:Marker4,RigidBody 02:Marker4,RigidBody 02:Marker5,RigidBody 02:Marker5,RigidBody 02:Marker5,Unlabeled 3852,Unlabeled 3852,Unlabeled 3852
,,"751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","C5B10","C5B10","C5B10","C6020","C6020","C6020","C5870","C5870","C5870","C6060","C6060","C6060","C5FE0","C5FE0","C5FE0","C5980","C5980","C5980","CA1F512867C11EB42374A447B10F386","CA1F512867C11EB42374A447B10F386","CA1F512867C11EB42374A447B10F386","C6030","C6030","C6030","C5790","C5790","C5790","C6050","C6050","C6050","C3510","C3510","C3510","C5F90","C5F90","C5F90"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,6.316020,5.366725,-5.736012,-6.979389,176.235016,-23.485157,-0.362095,0.084450,0.176468,-2.639272,156.815186,175.581497,-179.396744,-44.841312,2.608090,14.793965,17.053986,-23.351925,-2.547415,179.011185,-24.814472,14.929122,18.534548,-26.694191,-9.599369,178.549393,-24.033421,-81.999138,101.092888,179.856110,14.736906,18.659611,-20.073608,-14.184351,176.862366,-23.116034,78.720490,211.722183,176.036026,14.733845,13.986490,-23.285782,-1.589239,170.518478,-21.978086,79.864380,102.269424,179.552368,-80.148331,210.770920,176.934189,18.149990,174.835724,0.596344
1,0.016667,6.314072,5.367387,-5.724690,-6.976610,176.237411,-23.477697,-0.364295,0.083875,0.176766,-2.640084,156.814545,175.578934,-179.397308,-44.839470,2.610663,14.794156,17.053820,-23.351788,-2.544984,179.015045,-24.807465,14.929414,18.534187,-26.694185,-9.596411,178.550888,-24.025778,-81.998940,101.091942,179.856873,14.736791,18.659355,-20.073521,-14.181364,176.863159,-23.108503,78.719368,211.721985,176.032181,14.734450,13.986800,-23.285406,-1.586406,170.521957,-21.970385,79.865005,102.268257,179.552597,-80.150131,210.770767,176.925293,18.150265,174.854782,0.615937
2,0.033333,6.299899,5.365608,-5.707709,-6.974528,176.240692,-23.471416,-0.364074,0.084960,0.177220,-2.640731,156.813690,175.579773,-179.393906,-44.843388,2.618559,14.794344,17.053963,-23.352390,-2.543206,179.019058,-24.801012,14.929882,18.534506,-26.694822,-9.593809,178.552429,-24.020035,-81.999550,101.091858,179.857162,14.737042,18.659361,-20.074276,-14.178592,176.864120,-23.102322,78.718315,211.721802,176.031677,14.734038,13.986691,-23.285849,-1.585146,170.528717,-21.963814,79.865265,102.268135,179.552414,-80.150902,210.768204,176.928741,18.151636,174.868042,0.628144
3,0.050000,6.301577,5.363849,-5.705580,-6.973304,176.243134,-23.465948,-0.363719,0.084440,0.176813,-2.640218,156.815201,175.580399,-179.393524,-44.841827,2.616210,14.795092,17.054520,-23.352448,-2.542397,179.021805,-24.795815,14.930666,18.535181,-26.694860,-9.592560,178.554810,-24.013783,-81.999695,101.092506,179.858429,14.737651,18.659781,-20.074242,-14.176765,176.866180,-23.097509,78.719223,211.722702,176.033371,14.735028,13.987385,-23.285984,-1.584197,170.531204,-21.958155,79.865906,102.267479,179.555939,-80.150261,210.770966,176.928925,18.150492,174.859161,0.630260
4,0.066667,6.300700,5.367166,-5.707126,-6.972173,176.243668,-23.461248,-0.359941,0.085129,0.176871,-2.639528,156.814713,175.582962,-179.386749,-44.838684,2.622667,14.795717,17.054443,-23.352360,-2.542001,179.022125,-24.791092,14.931843,18.535450,-26.694656,-9.590777,178.555466,-24.009472,-81.998138,101.091469,179.858063,14.738435,18.659739,-20.074108,-14.175333,176.866837,-23.092152,78.719872,211.722275,176.038589,14.735046,13.986982,-23.286060,-1.583230,170.531754,-21.953796,79.865570,102.266968,179.553040,-80.149010,210.770508,176.935287,18.149904,174.846954,0.630808
5,0.083333,6.302823,5.364604,-5.710479,-6.970307,176.243469,-23.456135,-0.361913,0.084343,0.176857,-2.639600,156.816330,175.579239,-179.392471,-44.838310,2.622033,14.796228,17.053743,-23.351625,-2.539718,179.021957,-24.786039,14.931881,18.534035,-26.694139,-9.588870,178.555222,-24.004026,-81.998619,101.095512,179.851700,14.738819,18.659271,-20.073488,-14.173023,176.867050,-23.087379,78.719788,211.723907,176.034088,14.735868,13.986580,-23.285038,-1.582284,170.531174,-21.948666,79.866180,102.269661,179.552277,-80.149605,210.771011,176.930786,18.149837,174.849014,0.639117
6,0.100000,6.303718,5.364376,-5.713745,-6.968439,176.241898,-23.451290,-0.364086,0.083327,0.176841,-2.640721,156.815109,175.579239,-179.382416,-44.838768,2.629675,14.797093,17.053179,-23.350803,-2.537514,179.020401,-24.781736,14.933136,18.533951,-26.693144,-9.586710,178.554062,-23.998657,-81.999413,101.093460,179.856567,14.739847,18.658445,-20.072546,-14.171173,176.865585,-23.082685,78.718674,211.722687,176.033463,14.736348,13.985928,-23.284473,-1.580961,170.528992,-21.943521,79.865494,102.268074,179.553802,-80.150658,210.770874,176.921600,18.152403,174.857468,0.647914
