Format Version,1.22,Take Name,pm2_tran_004,Capture Frame Rate,240.000000,Export Frame Rate,60.000000,Capture Start Time,2021-03-16 11.01.39.107 AM,Total Frames in Take,1017,Total Exported Frames,255,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 01:Marker1,RigidBody 01:Marker1,RigidBody 01:Marker1,RigidBody 03:Marker1,RigidBody 03:Marker1,RigidBody 03:Marker1,RigidBody 01:Marker2,RigidBody 01:Marker2,RigidBody 01:Marker2,RigidBody 02:Marker2,RigidBody 02:Marker2,RigidBody 02:Marker2,RigidBody 03:Marker2,RigidBody 03:Marker2,RigidBody 03:Marker2,RigidBody 01:Marker3,RigidBody 01:Marker3,RigidBody 01:Marker3,RigidBody 02:Marker3,RigidBody 02:Marker3,RigidBody 02:Marker3,RigidBody 03:Marker3,RigidBody 03:Marker3,RigidBody 03:Marker3,RigidBody 01:Marker4,RigidBody 01:Marker4,RigidBody 01:Marker4,RigidBody 02:Marker4,RigidBody 02:Marker4,RigidBody 02:Marker4,RigidBody 02:Marker5,RigidBody 02:Marker5,RigidBody 02:Marker5,Unlabeled 12243,Unlabeled 12243,Unlabeled 12243,Unlabeled 12542,Unlabeled 12542,Unlabeled 12542,Unlabeled 13131,Unlabeled 13131,Unlabeled 13131,Unlabeled 13244,Unlabeled 13244,Unlabeled 13244,Unlabeled 13819,Unlabeled 13819,Unlabeled 13819,Unlabeled 14084,Unlabeled 14084,Unlabeled 14084
,,"751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","F0300","F0300","F0300","F0FC0","F0FC0","F0FC0","F0310","F0310","F0310","A58E8BED868111EB42374A447B10F386","A58E8BED868111EB42374A447B10F386","A58E8BED868111EB42374A447B10F386","F0F50","F0F50","F0F50","F0C40","F0C40","F0C40","A58E8BEE868111EB42374A447B10F386","A58E8BEE868111EB42374A447B10F386","A58E8BEE868111EB42374A447B10F386","F0FD0","F0FD0","F0FD0","F08E0","F08E0","F08E0","F1030","F1030","F1030","F0330","F0330","F0330","F1120","F1120","F1120","F1130","F1130","F1130","F1140","F1140","F1140","F1150","F1150","F1150","F1160","F1160","F1160","F1170","F1170","F1170"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,4.532514,3.292525,-5.474354,-4.236423,176.100616,-16.922029,-0.330899,0.060953,0.180415,-2.596156,156.779068,175.563339,-172.288742,-52.938412,6.257119,15.228089,16.768131,-15.213406,0.243182,178.839798,-18.168455,14.944463,18.499998,-18.424520,-6.833848,178.393051,-17.638687,-81.852219,101.074242,179.644012,15.701578,18.115858,-11.851529,-11.448753,176.726456,-16.834625,78.759491,211.691620,176.081100,15.055184,13.706329,-15.363355,1.091521,170.444687,-15.047800,79.926720,102.179993,179.619461,-80.181671,210.746262,176.987442,20.453978,178.512482,7.215518,,,,,,,,,,,,,,,
1,0.016667,4.536409,3.291842,-5.470298,-4.237775,176.100449,-16.926668,-0.331661,0.061675,0.180606,-2.596047,156.778854,175.563980,-172.287262,-52.936478,6.257681,15.228785,16.768023,-15.213366,0.240609,178.839706,-18.172327,14.945340,18.500090,-18.424685,-6.835135,178.392639,-17.643620,-81.851891,101.073814,179.646393,15.702045,18.115515,-11.851302,-11.449476,176.725998,-16.839270,78.759422,211.691696,176.079987,15.055762,13.706127,-15.363303,1.090684,170.444901,-15.052909,79.927391,102.180740,179.619553,-80.181763,210.745026,176.989349,20.451603,178.514297,7.212031,,,,,,,,,,,,,,,
2,0.033333,4.537992,3.292194,-5.463952,-4.239224,176.099747,-16.930624,-0.330362,0.060879,0.180371,-2.594816,156.778198,175.566040,-172.294373,-52.933781,6.252305,15.228847,16.767944,-15.213916,0.239510,178.839966,-18.176449,14.945415,18.499712,-18.425156,-6.837250,178.391479,-17.647625,-81.850922,101.073410,179.646088,15.702141,18.115917,-11.851987,-11.450522,176.724304,-16.842863,78.760864,211.690689,176.084427,15.055670,13.705772,-15.363832,1.089124,170.444702,-15.057003,79.928314,102.179085,179.624084,-80.180565,210.743851,176.995483,20.448786,178.517075,7.208109,,,,,,,,,,,,,,,
3,0.050000,4.535358,3.294763,-5.450958,-4.240887,176.099701,-16.934528,-0.332227,0.061888,0.180659,-2.596153,156.778030,175.564331,-172.288376,-52.935055,6.260848,15.229585,16.767607,-15.214043,0.236740,178.840775,-18.180534,14.946435,18.499601,-18.425421,-6.839038,178.390732,-17.651283,-81.851913,101.072983,179.647598,15.703283,18.115694,-11.852046,-11.452285,176.722672,-16.846800,78.759262,211.690933,176.079498,15.055898,13.705222,-15.363865,1.088814,170.446075,-15.061015,79.927895,102.179169,179.621124,-80.181625,210.743790,176.988007,20.446440,178.522491,7.204700,,,,,,,,,,,,,,,
4,0.066667,4.537178,3.299562,-5.441944,-4.241767,176.100403,-16.939140,-0.332144,0.061494,0.180379,-2.596480,156.778534,175.563187,-172.292847,-52.936829,6.257696,15.228497,16.766769,-15.214525,0.235819,178.842667,-18.185923,14.944985,18.498404,-18.425783,-6.839792,178.390747,-17.654911,-81.852539,101.073860,179.645813,15.701768,18.114651,-11.852797,-11.454098,176.722229,-16.851107,78.759209,211.691040,176.078979,15.055400,13.704817,-15.364215,1.088838,170.447449,-15.066099,79.927238,102.180191,179.618744,-80.182373,210.745712,176.986221,,,,,,,,,,,,,,,,,,
5,0.083333,4.534561,3.297242,-5.432600,-4.241747,176.100601,-16.944803,-0.331856,0.061964,0.180515,-2.595402,156.778809,175.563217,-172.298904,-52.932858,6.254728,15.230007,16.767233,-15.214674,0.235459,178.843292,-18.191566,14.947163,18.498987,-18.425873,-6.839898,178.390305,-17.660206,-81.851311,101.073929,179.646225,15.703431,18.115726,-11.853086,-11.453980,176.721207,-16.856956,78.760162,211.691528,176.078629,15.056503,13.704830,-15.364268,1.089050,170.448929,-15.071040,79.927322,102.180168,179.620026,-80.181305,210.745422,176.991577,,,,,,,,,,,,,,,,,,
